NAICS Code ,NAICS Description,Beazley Classification 
325992,"Photo Film, Paper, Plate & Chemical Mfg ",Manufacturing
325998,All Oth Misc Chemical Product & Prep Mfg ,Manufacturing
32611,"Unsupported Plastics Film, Sheet & Bag Mfg ",Manufacturing
326111,Unsupported Plastics Bag Mfg ,Manufacturing
326112,Unsupported Plastics Packaging Film/Sheet Mfg ,Manufacturing
326113,Unsupported Plastics Film/Sheet (exc Pkg) Mfg ,Manufacturing
32612,Plastics Pipe/Fitting/Unsupported Shapes Mfg ,Manufacturing
326121,Unsupported Plastics Profile Shape Mfg ,Manufacturing
326122,Plastics Pipe & Pipe Fitting Mfg ,Manufacturing
32613,"Laminated Plastics Plate, Sheet & Shape Mfg ",Manufacturing
32614,Polystyrene Foam Product Mfg ,Manufacturing
32615,Foam Product (exc Polystyrene) Mfg ,Manufacturing
32616,Plastics Bottle Mfg ,Manufacturing
32619,Other Plastics Product Mfg ,Manufacturing
326191,Plastics Plumbing Fixture Mfg ,Manufacturing
326192,Resilient Floor Covering Mfg ,Manufacturing
326199,All Other Plastics Product Mfg ,Manufacturing
32621,Tire Mfg ,Manufacturing
326211,Tire Mfg (exc Retreading) ,Manufacturing
326212,Tire Retreading ,Manufacturing
32622,Rubber & Plastics Hoses & Belting Mfg ,Manufacturing
32629,Other Rubber Product Mfg ,Manufacturing
326291,Rubber Product Mfg for Mechanical Use ,Manufacturing
326299,All Other Rubber Product Mfg ,Manufacturing
32711,"Pottery, Ceramics & Plumbing Fixture Mfg ",Manufacturing
327111,Vitreous Plumbing Fixtures/Access/Fitting Mfg ,Manufacturing
327112,Vitreous China & Other Pottery Product Mfg ,Manufacturing
327113,Porcelain Electrical Supply Mfg ,Manufacturing
32712,Clay Building Material & Refractories Mfg ,Manufacturing
327121,Brick & Structural Clay Tile Mfg ,Manufacturing
327122,Ceramic Wall & Floor Tile Mfg ,Manufacturing
327123,Other Structural Clay Product Mfg ,Manufacturing
327124,Clay Refractory Mfg ,Manufacturing
327125,Nonclay Refractory Mfg ,Manufacturing
32721,Glass & Glass Product Mfg ,Manufacturing
327211,Flat Glass Mfg ,Manufacturing
327212,Other Pressed & Blown Glass & Glassware Mfg ,Manufacturing
327213,Glass Container Mfg ,Manufacturing
327215,Glass Product Mfg Made of Purchased Glass ,Manufacturing
32731,Cement Mfg ,Manufacturing
32732,Ready-Mix Concrete Mfg ,Manufacturing
32733,"Concrete Pipe, Brick & Block Mfg ",Manufacturing
327331,Concrete Block & Brick Mfg ,Manufacturing
327332,Concrete Pipe Mfg ,Manufacturing
32739,Other Concrete Product Mfg ,Manufacturing
32741,Lime Mfg ,Manufacturing
32742,Gypsum Product Mfg ,Manufacturing
32791,Abrasive Product Mfg ,Manufacturing
32799,All Other Nonmetallic Mineral Product Mfg ,Manufacturing
327991,Cut Stone & Stone Product Mfg ,Manufacturing
327992,Ground or Treated Mineral & Earth Mfg ,Manufacturing
327993,Mineral Wool Mfg ,Manufacturing
327999,All Oth Misc Nonmetallic Mineral Product Mfg ,Manufacturing
33111,Iron & Steel Mills & Ferroalloy Mfg ,Manufacturing
331111,Iron & Steel Mills ,Manufacturing
331112,Electrometallurgical Ferroalloy Product Mfg ,Manufacturing
33121,Iron/Steel Pipe & Tube Mfg from Purch Steel ,Manufacturing
33122,Rolling & Drawing of Purchased Steel ,Manufacturing
331221,Rolled Steel Shape Mfg ,Manufacturing
331222,Steel Wire Drawing ,Manufacturing
33131,Alumina & Aluminum Production & Processing ,Manufacturing
331311,Alumina Refining ,Manufacturing
331312,Primary Aluminum Production ,Manufacturing
331314,Secondary Smelting & Alloying of Aluminum ,Manufacturing
331315,"Aluminum Sheet, Plate & Foil Mfg ",Manufacturing
331316,Aluminum Extruded Product Mfg ,Manufacturing
331319,Other Aluminum Rolling & Drawing ,Manufacturing
33141,Nonferrous (exc Aluminum) Smelting & Refining ,Manufacturing
331411,Primary Smelting & Refining of Copper ,Manufacturing
331419,Other Nonferrous Metal Prim Smelting/Refining ,Manufacturing
33142,Copper Rolling/Drawing/Extruding & Alloying ,Manufacturing
331421,"Copper Rolling, Drawing & Extruding ",Manufacturing
331422,Copper Wire (except Mechanical) Drawing ,Manufacturing
331423,Secondary Smelting/Refining/Alloying of Copper ,Manufacturing
33149,Other Nonferrous Roll/Draw/Extruding/Alloying ,Manufacturing
331491,Other Nonferrous Metal Roll/Draw/Extruding ,Manufacturing
331492,Oth Nonferrous Secondary Smelt/Refine/Alloying ,Manufacturing
33151,Ferrous Metal Foundries ,Manufacturing
331511,Iron Foundries ,Manufacturing
331512,Steel Investment Foundries ,Manufacturing
331513,Steel Foundries (except Investment) ,Manufacturing
33152,Nonferrous Metal Foundries ,Manufacturing
331521,Aluminum Die-Casting Foundries ,Manufacturing
331522,Nonferrous (exc Alum) Die-Casting Foundries ,Manufacturing
331524,Aluminum Foundries (except Die-Casting) ,Manufacturing
331525,Copper Foundries (except Die-Casting) ,Manufacturing
331528,Oth Nonferrous Foundries (except Die-Casting) ,Manufacturing
33211,Forging & Stamping ,Manufacturing
332111,Iron & Steel Forging ,Manufacturing
332112,Nonferrous Forging ,Manufacturing
332114,Custom Roll Forming ,Manufacturing
332115,Crown & Closure Mfg ,Manufacturing
332116,Metal Stamping ,Manufacturing
332117,Powder Metallurgy Parts Mfg ,Manufacturing
33221,Cutlery & Handtool Mfg ,Manufacturing
332211,Cutlery & Flatware (exc Precious) Mfg ,Manufacturing
332212,Hand & Edge Tool Mfg ,Manufacturing
332213,Saw Blade & Handsaw Mfg ,Manufacturing
332214,"Kitchen Utensil, Pot & Pan Mfg ",Manufacturing
33231,Plate Work & Fabricated Structural Prod Mfg ,Manufacturing
332311,Prefab Metal Building & Component Mfg ,Manufacturing
332312,Fabricated Structural Metal Mfg ,Manufacturing
332313,Plate Work Mfg ,Manufacturing
33232,Ornamental & Architectural Metal Prod Mfg ,Manufacturing
332321,Metal Window & Door Mfg ,Manufacturing
332322,Sheet Metal Work Mfg ,Manufacturing
332323,Ornamental & Architectural Metal Work Mfg ,Manufacturing
33241,Power Boiler & Heat Exchanger Mfg ,Manufacturing
33242,Metal Tank (Heavy Gauge) Mfg ,Manufacturing
33243,Light Gauge Metal Container Mfg ,Manufacturing
332431,Metal Can Mfg ,Manufacturing
332439,Other Metal Container Mfg ,Manufacturing
33251,Hardware Mfg ,Manufacturing
33261,Spring & Wire Product Mfg ,Manufacturing
332611,Spring (Heavy Gauge) Mfg ,Manufacturing
332612,Spring (Light Gauge) Mfg ,Manufacturing
332618,Other Fabricated Wire Product Mfg ,Manufacturing
33271,Machine Shops ,Manufacturing
33272,"Turned Product & Screw, Nut & Bolt Mfg ",Manufacturing
332721,Precision Turned Product Mfg ,Manufacturing
332722,"Bolt, Nut, Screw, Rivet & Washer Mfg ",Manufacturing
33281,Coating/Engrave/Heat Treating & Oth Activity ,Manufacturing
332811,Metal Heat Treating ,Manufacturing
332812,"Metal Coating, Engraving, & Allied Services ",Manufacturing
332813,Electropl/Plating/Polish/Anodize/Coloring ,Manufacturing
33291,Metal Valve Mfg ,Manufacturing
332911,Industrial Valve Mfg ,Manufacturing
332912,Fluid Power Valve & Hose Fitting Mfg ,Manufacturing
332913,Plumbing Fixture Fitting & Trim Mfg ,Manufacturing
332919,Other Metal Valve & Pipe Fitting Mfg ,Manufacturing
33299,All Other Fabricated Metal Product Mfg ,Manufacturing
332991,Ball & Roller Bearing Mfg ,Manufacturing
332992,Small Arms Ammunition Mfg ,Manufacturing
332993,Ammunition (exc Small Arms) Mfg ,Manufacturing
332994,Small Arms Mfg ,Manufacturing
332995,Other Ordnance & Accessories Mfg ,Manufacturing
332996,Fabricated Pipe & Pipe Fitting Mfg ,Manufacturing
332997,Industrial Pattern Mfg ,Manufacturing
332998,Enameled Iron & Metal Sanitary Ware Mfg ,Manufacturing
332999,All Other Misc Fabricated Metal Product Mfg ,Manufacturing
33311,Agricultural Implement Mfg ,Manufacturing
333111,Farm Machinery & Equipment Mfg ,Manufacturing
333112,Lawn & Garden Equipment Mfg ,Manufacturing
33312,Construction Machinery Mfg ,Manufacturing
33313,Mining & Oil & Gas Field Machinery Mfg ,Manufacturing
333131,Mining Machinery & Equipment Mfg ,Manufacturing
333132,Oil & Gas Field Machinery & Equipment Mfg ,Manufacturing
33321,Sawmill & Woodworking Machinery Mfg ,Manufacturing
33322,Plastics & Rubber Industry Machinery Mfg ,Manufacturing
33329,Other Industrial Machinery Mfg ,Manufacturing
333291,Paper Industry Machinery Mfg ,Manufacturing
333292,Textile Machinery Mfg ,Manufacturing
333293,Printing Machinery & Equipment Mfg ,Manufacturing
333294,Food Product Machinery Mfg ,Manufacturing
333295,Semiconductor Machinery Mfg ,Manufacturing
333298,All Other Industrial Machinery Mfg ,Manufacturing
33331,Commercial & Service Industry Machinery Mfg ,Manufacturing
333311,Automatic Vending Machine Mfg ,Manufacturing
333312,"Commercial Laundry, Dryclean & Press Mach Mfg ",Manufacturing
333313,Office Machinery Mfg ,Manufacturing
333314,Optical Instrument & Lens Mfg ,Manufacturing
333315,Photographic & Photocopying Equipment Mfg ,Manufacturing
333319,Oth Commercial/Service Industry Machinery Mfg ,Manufacturing
33341,HVAC & Commercial Refrigeration Equipment Mfg ,Manufacturing
333411,Air Purification Equipment Mfg ,Manufacturing
333412,Industrial & Commercial Fan & Blower Mfg ,Manufacturing
333414,Heating Equipment (exc Warm Air Furnaces) Mfg ,Manufacturing
333415,AC/Warm Air Htg & Commercial Refrig Equip Mfg ,Manufacturing
33351,Metalworking Machinery Mfg ,Manufacturing
333511,Industrial Mold Mfg ,Manufacturing
333512,Machine Tool (Metal Cutting Types) Mfg ,Manufacturing
333513,Machine Tool (Metal Forming Types) Mfg ,Manufacturing
333514,"Special Die/Tool, Die Set, Jig & Fixture Mfg ",Manufacturing
333515,Cutting Tool & Machine Tool Accessory Mfg ,Manufacturing
333516,Rolling Mill Machinery & Equipment Mfg ,Manufacturing
333518,Other Metalworking Machinery Mfg ,Manufacturing
33361,"Engine, Turbine & Power Transmsn Equip Mfg ",Manufacturing
333611,Turbine & Turbine Generator Set Unit Mfg ,Manufacturing
333612,"Spd Changer, Ind High-Speed Drive & Gear Mfg ",Manufacturing
333613,Mechanical Power Transmission Equipment Mfg ,Manufacturing
333618,Other Engine Equipment Mfg ,Manufacturing
33391,Pump & Compressor Mfg ,Manufacturing
333911,Pump & Pumping Equipment Mfg ,Manufacturing
333912,Air & Gas Compressor Mfg ,Manufacturing
333913,Measuring & Dispensing Pump Mfg ,Manufacturing
33392,Material Handling Equipment Mfg ,Manufacturing
333921,Elevator & Moving Stairway Mfg ,Manufacturing
333922,Conveyor & Conveying Equipment Mfg ,Manufacturing
333923,"Overhead Crane, Hoist & Monorail System Mfg ",Manufacturing
333924,"Ind Truck, Tractor, Trailer, Stacker Mach Mfg ",Manufacturing
33399,All Other General Purpose Machinery Mfg ,Manufacturing
333991,Power-Driven Hand Tool Mfg ,Manufacturing
333992,Welding & Soldering Equipment Mfg ,Manufacturing
333993,Packaging Machinery Mfg ,Manufacturing
333994,Industrial Process Furnace & Oven Mfg ,Manufacturing
333995,Fluid Power Cylinder & Actuator Mfg ,Manufacturing
333996,Fluid Power Pump & Motor Mfg ,Manufacturing
333997,Scale & Balance (except Laboratory) Mfg ,Manufacturing
333999,All Oth Misc General Purpose Machinery Mfg ,Manufacturing
33421,Telephone Apparatus Mfg ,Manufacturing
33422,Radio/TV Broadcast & Wireless Comm Equip Mfg ,Manufacturing
33429,Other Communications Equipment Mfg ,Manufacturing
33431,Audio & Video Equipment Mfg ,Manufacturing
33441,Semiconductor & Oth Electronic Component Mfg ,Hi-tech
334411,Electron Tube Mfg ,Hi-tech
334412,Bare Printed Circuit Board Mfg ,Hi-tech
334413,Semiconductor & Related Device Mfg ,Hi-tech
334414,Electronic Capacitor Mfg ,Hi-tech
334415,Electronic Resistor Mfg ,Hi-tech
334416,Electronic Coil/Transformer/Oth Inductor Mfg ,Hi-tech
334417,Electronic Connector Mfg ,Hi-tech
334418,Printed Circuit Assembly (Electronic Assembly) Mfg ,Hi-tech
334419,Other Electronic Component Mfg ,Hi-tech
33451,Nav/Measuring/Medical/Control  Instruments Mfg ,Manufacturing
334510,Electromedical Apparatus Mfg ,Manufacturing
334511,"Search, Detection & Navigation Instrument Mfg ",Manufacturing
334512,Automatic Environmental Control Mfg ,Manufacturing
334513,Industrial Process Control Mfg ,Manufacturing
334514,Total Fluid Meter & Counting Device Mfg ,Manufacturing
334515,Electricity Measuring/Testing Instrument Mfg ,Manufacturing
334516,Analytical Laboratory Instrument Mfg ,Manufacturing
334517,Irradiation Apparatus Mfg ,Manufacturing
334518,"Watch, Clock & Part Mfg ",Manufacturing
334519,Other Measuring & Controlling Device Mfg ,Manufacturing
33461,Mfg & Reproducing Magnetic & Optical Media ,Manufacturing
334611,Software Reproducing ,Manufacturing
334612,Prerecorded CD/Tape/Record Reproducing ,Manufacturing
334613,Magnetic and Optical Recording Media Mfg ,Manufacturing
33511,Electric Lamp Bulb & Part Mfg ,Manufacturing
33512,Lighting Fixture Mfg ,Manufacturing
335121,Residential Electric Lighting Fixture Mfg ,Manufacturing
335122,Commercial Electric Lighting Fixture Mfg ,Manufacturing
335129,Other Lighting Equipment Mfg ,Manufacturing
33521,Small Electrical Appliance Mfg ,Manufacturing
335211,Electric Housewares & Fan Mfg ,Manufacturing
335212,Household Vacuum Cleaner Mfg ,Manufacturing
33522,Major Appliance Mfg ,Manufacturing
335221,Household Cooking Appliance Mfg ,Manufacturing
335222,Household Refrigerator & Freezer Mfg ,Manufacturing
335224,Household Laundry Equipment Mfg ,Manufacturing
335228,Other Major Household Appliance Mfg ,Manufacturing
33531,Electrical Equipment Mfg ,Manufacturing
335311,Power/Distribution/Specialty Transformer Mfg ,Manufacturing
335312,Motor & Generator Mfg ,Manufacturing
335313,Switchgear & Switchboard Apparatus Mfg ,Manufacturing
335314,Relay & Industrial Control Mfg ,Manufacturing
33591,Battery Mfg ,Manufacturing
335911,Storage Battery Mfg ,Manufacturing
335912,Primary Battery Mfg ,Manufacturing
33592,Communication & Energy Wire & Cable Mfg ,Manufacturing
335921,Fiber Optic Cable Mfg ,Manufacturing
335929,Other Communication & Energy Wire Mfg ,Manufacturing
33593,Wiring Device Mfg ,Manufacturing
335931,Current-Carrying Wiring Device Mfg ,Manufacturing
335932,Noncurrent-Carrying Wiring Device Mfg ,Manufacturing
33599,All Oth Electrical Equipment & Component Mfg ,Manufacturing
335991,Carbon & Graphite Product Mfg ,Manufacturing
335999,All Oth Misc Electrical Equip & Component Mfg ,Manufacturing
33611,Automobile & Light Duty Motor Vehicle Mfg ,Manufacturing
336111,Automobile Mfg ,Manufacturing
336112,Light Truck & Utility Vehicle Mfg ,Manufacturing
33612,Heavy Duty Truck Mfg ,Manufacturing
33621,Motor Vehicle Body & Trailer Mfg ,Manufacturing
336211,Motor Vehicle Body Mfg ,Manufacturing
336212,Truck Trailer Mfg ,Manufacturing
336213,Motor Home Mfg ,Manufacturing
336214,Travel Trailer & Camper Mfg ,Manufacturing
33631,Motor Vehicle Gas Engine & Engine Parts Mfg ,Manufacturing
336311,"Carburetor, Piston, Piston Ring & Valve Mfg ",Manufacturing
336312,Gasoline Engine & Engine Parts Mfg ,Manufacturing
33632,MV Electrical & Electronic Equipment Mfg ,Manufacturing
336321,Vehicular Lighting Equipment Mfg ,Manufacturing
336322,Oth MV Electrical & Electronic Equip Mfg ,Manufacturing
33633,Motor Vehicle Steering & Suspension Parts Mfg ,Manufacturing
33634,Motor Vehicle Brake System Mfg ,Manufacturing
33635,MV Transmission & Power Train Parts Mfg ,Manufacturing
33636,Motor Vehicle Seating & Interior Trim Mfg ,Manufacturing
33637,Motor Vehicle Metal Stamping ,Manufacturing
33639,Other Motor Vehicle Parts Mfg ,Manufacturing
336391,Motor Vehicle Air-Conditioning Mfg ,Manufacturing
336399,All Other Motor Vehicle Parts Mfg ,Manufacturing
33641,Aerospace Product & Parts Mfg ,Manufacturing
336411,Aircraft Mfg ,Manufacturing
336412,Aircraft Engine & Engine Parts Mfg ,Manufacturing
336413,Other Aircraft Part & Auxiliary Equipment Mfg ,Manufacturing
336414,Guided Missile & Space Vehicle Mfg ,Manufacturing
336415,Missile/Space Veh Propulsion Unit & Parts Mfg ,Manufacturing
336419,Other Missile/Space Veh Parts & Aux Equip Mfg ,Manufacturing
33651,Railroad Rolling Stock Mfg ,Manufacturing
33661,Ship & Boat Building ,Manufacturing
336611,Ship Building & Repairing ,Manufacturing
336612,Boat Building ,Manufacturing
33699,Other Transportation Equipment Mfg ,Manufacturing
336991,"Motorcycle, Bicycle & Parts Mfg ",Manufacturing
336992,"Mil Armored Vehicle, Tank & Tank Compn Mfg ",Manufacturing
336999,All Other Transportation Equipment Mfg ,Manufacturing
33711,Wood Kitchen Cabinet & Countertop Mfg ,Manufacturing
33712,Household & Institutional Furniture Mfg ,Manufacturing
337121,Upholstered Household Furniture Mfg ,Manufacturing
337122,Nonupholstered Wood Household Furniture Mfg ,Manufacturing
337124,Metal Household Furniture Manufacturing ,Manufacturing
337125,Household Furniture (exc Wood & Metal) Mfg ,Manufacturing
337127,Institutional Furniture Mfg ,Manufacturing
337129,Wood TV/Radio/Sewing Machine Cabinet Mfg ,Manufacturing
33721,Office Furniture (including Fixtures) Mfg ,Manufacturing
337211,Wood Office Furniture Mfg ,Manufacturing
337212,Custom Architectural Woodwork & Millwork Mfg ,Manufacturing
337214,Office Furniture (except Wood) Mfg ,Manufacturing
337215,"Shwcase, Partition, Shelv & Locker Mfg ",Manufacturing
33791,Mattress Mfg ,Manufacturing
33792,Blind & Shade Mfg ,Manufacturing
33911,Medical Equipment & Supplies Mfg ,Manufacturing
339111,Laboratory Apparatus & Furniture Mfg ,Manufacturing
33991,Jewelry & Silverware Mfg ,Manufacturing
339911,Jewelry (exc Costume) Mfg ,Manufacturing
339912,Silverware & Hollowware Mfg ,Manufacturing
339913,Jewelers' Material & Lapidary Work Mfg ,Manufacturing
339914,Costume Jewelry & Novelty Mfg ,Manufacturing
33992,Sporting & Athletic Goods Mfg ,Manufacturing
33993,"Doll, Toy & Game Mfg ",Manufacturing
339931,Doll & Stuffed Toy Mfg ,Manufacturing
339932,"Game, Toy & Children's Vehicle Mfg ",Manufacturing
33994,Office Supplies (exc Paper) Mfg ,Manufacturing
339941,Pen & Mechanical Pencil Mfg ,Manufacturing
339942,Lead Pencil & Art Good Mfg ,Manufacturing
339943,Marking Device Mfg ,Manufacturing
339944,Carbon Paper & Inked Ribbon Mfg ,Manufacturing
33995,Sign Mfg ,Manufacturing
33999,All Other Misc Mfg ,Manufacturing
339991,"Gasket, Packing & Sealing Device Mfg ",Manufacturing
339992,Musical Instrument Mfg ,Manufacturing
339993,"Fastener, Button, Needle & Pin Mfg ",Manufacturing
339994,"Broom, Brush & Mop Mfg ",Manufacturing
339995,Burial Casket Mfg ,Manufacturing
339999,All Other Miscellaneous Mfg ,Manufacturing
31213,Wineries ,Manufacturing
325411,Medicinal & Botanical Mfg ,Pharmaceutical
325413,In-Vitro Diagnostic Substance Mfg ,Bio-tech
325414,Biological Product (exc Diagnostic) Mfg ,Bio-tech
339112,Surgical & Medical Instrument Mfg ,Manufacturing
339113,Surgical Appliance & Supplies Mfg ,Manufacturing
339114,Dental Equipment & Supplies Mfg ,Manufacturing
339115,Ophthalmic Goods Mfg ,Manufacturing
339116,Dental Laboratories ,Manufacturing
21211,Coal Mining ,Mining
212111,Bituminous Coal & Lignite Surface Mining ,Mining
212112,Bituminous Coal Underground Mining ,Mining
212113,Anthracite Mining ,Mining
21221,Iron Ore Mining ,Mining
21222,Gold Ore & Silver Ore Mining ,Mining
212221,Gold Ore Mining ,Mining
212222,Silver Ore Mining ,Mining
21223,"Copper, Nickel, Lead & Zinc Mining ",Mining
212231,Lead Ore & Zinc Ore Mining ,Mining
212234,Copper Ore & Nickel Ore Mining ,Mining
21229,Other Metal Ore Mining ,Mining
212291,Uranium-Radium-Vanadium Ore Mining ,Mining
212299,All Other Metal Ore Mining ,Mining
21231,Stone Mining & Quarrying ,Mining
212311,Dimension Stone Mining & Quarrying ,Mining
212312,Crushed & Broken Limestone Mining & Quarrying ,Mining
212313,Crushed & Broken Granite Mining & Quarrying,Mining
212319,Oth Crushed & Broken Stone Mining & Quarrying ,Mining
21232,Sand/Gravel/Clay/Refractory Minerals Mining ,Mining
212321,Construction Sand & Gravel Mining ,Mining
212322,Industrial Sand Mining ,Mining
212324,Kaolin & Ball Clay Mining ,Mining
212325,Clay & Ceramic & Refractory Minerals Mining ,Mining
21239,Other Nonmetallic Mineral Mining & Quarrying ,Mining
212391,"Potash, Soda, & Borate Mineral Mining ",Mining
212392,Phosphate Rock Mining ,Mining
212393,Other Chemical & Fertilizer Mineral Mining ,Mining
212399,All Other Nonmetallic Mineral Mining ,Mining
21311,Mining Support Activities ,Mining
213113,Support Activities for Coal Mining ,Mining
213114,Support Activities for Metal Mining ,Mining
213115,Nonmetallic Minerals Support Activity (exc Fuels) ,Mining
92111,Executive Offices ,Municipality
92112,Legislative Bodies ,Municipality
92113,Public Finance Activities ,Municipality
92114,"Executive & Legislative Offices, Combined ",Municipality
92115,American Indian & Alaska Native Tribal Gov ,Municipality
92119,Other General Government Support ,Municipality
92211,Courts ,Municipality
92212,Police Protection ,Municipality
92213,Legal Counsel & Prosecution ,Municipality
92214,Correctional Institutions ,Municipality
92215,Parole Offices & Probation Offices ,Municipality
92216,Fire Protection ,Municipality
92219,Oth Justice/Public Order/Safety Activity ,Municipality
92311,Administration of Education Programs ,Municipality
92312,Administration of Public Health Programs ,Municipality
92313,Administration of Other Human Resource Programs ,Municipality
92314,Administration of Veterans' Affairs ,Municipality
92411,Admin Air/Water Resource/Solid Waste Mgt Prog ,Municipality
92412,Administration of Conservation Programs ,Municipality
92511,Administration of Housing Programs ,Municipality
92512,Admin Urban Planning & Community/Rural Devop ,Municipality
92611,Administration of General Economic Programs ,Municipality
92612,Regulation & Admin of Transportation Programs ,Municipality
92613,Regulation & Administration of Utilities ,Municipality
92614,Regulation Agricultural Marketing & Commodities ,Municipality
92615,Reg/License/Inspect - Misc Commercial Sectors ,Municipality
92811,National Security ,Municipality
92812,International Affairs,Municipality
21111,Oil & Gas Extraction ,Oil & Gas
211111,Crude Petroleum & Natural Gas Extraction ,Oil & Gas
211112,Natural Gas Liquid Extraction ,Oil & Gas
213111,Drilling Oil & Gas Wells ,Oil & Gas
213112,Oil & Gas Operations Support Activities ,Oil & Gas
32411,Petroleum Refineries ,Oil & Gas
48611,Pipeline Transportation of Crude Oil ,Oil & Gas
48621,Pipeline Transportation of Natural Gas ,Oil & Gas
44613,Optical Goods Stores ,Retail
32541,Pharmaceutical & Medicine Mfg ,Pharmaceutical
325412,Pharmaceutical Preparation Mfg ,Pharmaceutical
32311,Printing ,Printing
323110,Commercial Lithographic Printing ,Printing
323111,Commercial Gravure Printing ,Printing
323112,Commercial Flexographic Printing ,Printing
323113,Commercial Screen Printing ,Printing
323114,Quick Printing ,Printing
323115,Digital Printing ,Printing
323116,Manifold Business Form Printing ,Printing
323117,Book Printing ,Printing
323118,"Blankbook, Looseleaf Binder & Device Mfg ",Printing
323119,Other Commercial Printing ,Printing
32312,Printing Support Activities ,Printing
323121,Tradebinding & Related Work ,Printing
323122,Prepress Services ,Printing
81411,Private Households ,Household Staff
311222,Soybean Processing ,Processing
311223,Other Oilseed Processing ,Processing
311225,Fats & Oils Refining & Blending ,Processing
311612,Meat Processed From Carcasses ,Processing
311613,Rendering & Meat Byproduct Processing ,Processing
311615,Poultry Processing ,Processing
31171,Seafood Product Preparation & Packaging ,Processing
311712,Fresh & Frozen Seafood Processing ,Processing
31221,Tobacco Stemming & Redrying ,Processing
31611,Leather & Hide Tanning & Finishing ,Processing
54134,Drafting Services ,Professional
54135,Building Inspection Services ,Professional
54136,Geophysical Surveying & Mapping Services ,Professional
54137,Surveying/Mapping (exc Geophysical) Services ,Professional
54138,Testing Laboratories ,Professional
54141,Interior Design Services ,Professional
54142,Industrial Design Services ,Professional
54143,Graphic Design Services ,Professional
54149,Other Specialized Design Services ,Professional
54181,Advertising Agencies ,Advertising
54182,Public Relations Agencies ,Professional
54183,Media Buying Agencies ,Professional
54184,Media Representatives ,Professional
54185,Display Advertising ,Service
54186,Direct Mail Advertising ,Service
54187,Advertising Material Distribution Services ,Service
54189,Other Services Related to Advertising ,Service
54191,Marketing Research & Public Opinion Polling ,Professional
54192,Photographic Services ,Professional
541921,"Photography Studios, Portrait ",Professional
541922,Commercial Photography ,Professional
54193,Translation & Interpretation Services ,Professional
54199,"All Oth Prof, Scientific & Technical Services ",Professional
51111,Newspaper Publishers ,Publishing
51112,Periodical Publishers ,Publishing
51113,Book Publishers ,Publishing
51114,Database and Directory Publishers ,Publishing
51119,Other Publishers ,Publishing
511191,Greeting Card Publishers ,Publishing
511199,All Other Publishers ,Publishing
53111,Lessors of Residential Buildings & Dwellings ,Real Estate
53112,Lessors of Nonres Bldg (exc Miniwarehouse) ,Real Estate
53113,Lessors of Miniwarehouse & Self Storage Units ,Real Estate
53119,Lessors of Other Real Estate Property ,Real Estate
53121,Offices of Real Estate Agents & Brokers ,Real Estate
53131,Real Estate Property Managers ,Property Managers
531311,Residential Property Managers ,Property Managers
531312,Nonresidential Property Managers ,Real Estate
53132,Offices of Real Estate Appraisers ,Real Estate
53139,Other Activities Related to Real Estate ,Real Estate
81311,Religious Organizations ,Religious
53221,Consumer Electronics & Appliances Rental ,Rental
53222,Formal Wear & Costume Rental ,Rental
53223,Video Tape & Disk Rental ,Rental
53229,Other Consumer Goods Rental ,Rental
532291,Home Health Equipment Rental ,Rental
532292,Recreational Goods Rental ,Rental
532299,All Other Consumer Goods Rental ,Rental
53231,General Rental Centers ,Rental
53241,Const/Trans/Mining Equip Rental & Leasing ,Rental
532411,Commercial Trans Equip (exc MV) Rental/Lease ,Rental
532412,Const/Mining/Forestry Equip Rental & Leasing ,Rental
53242,Office Machinery & Equipment Rental & Leasing ,Rental
53249,Oth Commercial/Industrial Equip Rental/Lease ,Rental
92711,Space Research & Technology ,Research & Development
54171,"R&D in Physical, Engineering & Life Sciences ",Research & Development
54172,R&D in Social Sciences & Humanities ,Research & Development
72211,Full-Service Restaurants (Franchise) ,Restaurant (Franchise)
72212,Full-Service Restaurants (Non Franchise) ,Restaurant (Non Franchise)
72221,Limited-Service Eating Places/Restaurants (Franchise) ,Restaurant (Franchise)
722211,Limited-Service Eating Places/Restaurants (Non Franchise) ,Restaurant (Non Franchise)
722215,Cafeterias (Franchise) ,Restaurant (Franchise)
722218,Cafeterias (Non Franchise) ,Restaurant (Non Franchise)
722216,Snack and Nonalcoholic beverage bars (Franchise) ,Restaurant (Franchise)
722219,Snack and Nonalcoholic beverage bars (Non Franchise) ,Restaurant (Non Franchise)
72231,Food Service Contractors ,Restaurant (Non Franchise)
72232,Caterers ,Restaurant (Non Franchise)
72233,Mobile Food Services ,Restaurant (Non Franchise)
311811,Retail Bakeries ,Retail
44122,Motorcycle & Boat & Other MV Dealers ,Retail
441221,Motorcycle Dealers ,Retail
441222,Boat Dealers ,Retail
44131,"Automotive Parts, Accessories & Tire Stores ",Retail
44132,Tire Dealers ,Retail
44211,Furniture Stores ,Retail
44221,Floor Covering Stores ,Retail
44229,Other Home Furnishings Stores ,Retail
442291,Window Treatment Stores ,Retail
442299,All Other Home Furnishings Stores ,Retail
44311,"Appliance, TV & Other Electronics Stores ",Retail
443111,Household Appliance Stores ,Retail
443112,"Radio, Television & Other Electronics Stores ",Retail
44312,Computer & Software Stores ,Retail
44313,Camera & Photographic Supplies Stores ,Retail
44411,Home Centers ,Retail
44412,Paint & Wallpaper Stores ,Retail
