revenue,lower1,upper1,lower2,upper2,lower3,upper3,lower4,upper4,lower5,upper5,lower6,upper6,next
7.15e+09,85915.6713392192,86455.6366417589,168738.910188314,170370.91937777,154028.498014918,155217.437201994,176492.713169334,177456.177555687,206238.11372954,207109.333965326,302863.688203328,303465.66865957,7.2e+09
7.2e+09,86455.6366417589,86998.9955188761,170370.91937777,172018.712991106,155217.437201994,156415.553724673,177456.177555687,178424.901416874,207109.333965326,207984.234508854,303465.66865957,304068.84561277,7.25e+09
7.25e+09,86998.9955188761,87545.7693002461,172018.712991106,173682.443696709,156415.553724673,157622.918425979,178424.901416874,179398.913467001,207984.234508854,208862.830909728,304068.84561277,304673.221443051,7.3e+09
7.3e+09,87545.7693002461,88095.9794494075,173682.443696709,175362.265639023,157622.918425979,158839.602695362,179398.913467001,180378.242576586,208862.830909728,209745.138782917,304673.221443051,305278.798535035,7.35e+09
7.35e+09,88095.9794494075,88649.6475646258,175362.265639023,177058.334452888,158839.602695362,160065.678472958,180378.242576586,181362.917773446,209745.138782917,210631.173809071,305278.798535035,305885.579277883,7.4e+09
7.4e+09,88649.6475646258,89206.7953797591,177058.334452888,178770.807278004,160065.678472958,161301.218253886,181362.917773446,182352.968243599,210631.173809071,211520.951734831,305885.579277883,306493.566065324,7.45e+09
7.45e+09,89206.7953797591,89767.4447651279,178770.807278004,180499.842773532,161301.218253886,162546.295092564,182352.968243599,183348.423332149,211520.951734831,212414.488373138,306493.566065324,307102.761295689,7.5e+09
7.5e+09,89767.4447651279,90331.6177283875,180499.842773532,182245.601132829,162546.295092564,163800.982607063,183348.423332149,184349.312544191,212414.488373138,213311.799603535,307102.761295689,307713.167371936,7.55e+09
7.55e+09,90331.6177283875,90899.3364154047,182245.601132829,184008.244098327,163800.982607063,165065.354983483,184349.312544191,185355.665545701,213311.799603535,214212.901372476,307713.167371936,308324.786701679,7.6e+09
7.6e+09,90899.3364154047,91470.6231111385,184008.244098327,185787.934976544,165065.354983483,166339.486980367,185355.665545701,186367.512164439,214212.901372476,215117.809693628,308324.786701679,308937.621697208,7.65e+09
7.65e+09,91470.6231111385,92045.5002405244,185787.934976544,187584.838653238,166339.486980367,167623.453933139,186367.512164439,187384.882390851,215117.809693628,216026.540648169,308937.621697208,309551.674775513,7.7e+09
7.7e+09,92045.5002405244,92623.9903693638,187584.838653238,189399.121608713,167623.453933139,168917.331758578,187384.882390851,188407.806378971,216026.540648169,216939.110385094,309551.674775513,310166.948358307,7.75e+09
7.75e+09,92623.9903693638,93206.1162052172,189399.121608713,191230.951933259,168917.331758578,170221.196959324,188407.806378971,189436.314447333,216939.110385094,217855.535121509,310166.948358307,310783.44487204,7.8e+09
7.8e+09,93206.1162052172,93791.9005983026,191230.951933259,193080.499342742,170221.196959324,171535.126628415,189436.314447333,190470.437079879,217855.535121509,218775.831142939,310783.44487204,311401.166747922,7.85e+09
7.85e+09,93791.9005983026,94381.3665423984,193080.499342742,194947.935194349,171535.126628415,172859.198453858,190470.437079879,191510.204926874,218775.831142939,219700.01480362,311401.166747922,312020.116421939,7.9e+09
7.9e+09,94381.3665423984,94974.5371757515,194947.935194349,196833.432502474,172859.198453858,174193.490723237,191510.204926874,192555.648805823,219700.01480362,220628.102526804,312020.116421939,312640.296334866,7.95e+09
7.95e+09,94974.5371757515,95571.43578199,196833.432502474,198737.165954761,174193.490723237,175538.082328346,192555.648805823,193606.799702395,220628.102526804,221560.110805057,312640.296334866,313261.708932288,8e+09
8e+09,95571.43578199,96172.0857910417,198737.165954761,200659.311928301,175538.082328346,176893.052769867,193606.799702395,194663.688771349,221560.110805057,222496.056200558,313261.708932288,313884.356664609,8.05e+09
8.05e+09,96172.0857910417,96776.5107800572,200659.311928301,202600.048505983,176893.052769867,178258.482162081,194663.688771349,195726.347337461,222496.056200558,223435.955345403,313884.356664609,314508.241987073,8.1e+09
8.1e+09,96776.5107800572,97384.7344743389,202600.048505983,204559.555492999,178258.482162081,179634.451237602,195726.347337461,196794.806896461,223435.955345403,224379.824941903,314508.241987073,315133.36735977,8.15e+09
8.15e+09,97384.7344743389,97996.7807482748,204559.555492999,206538.014433514,179634.451237602,181021.04135217,196794.806896461,197869.099115972,224379.824941903,225327.681762887,315133.36735977,315759.735247655,8.2e+09
8.2e+09,97996.7807482748,98612.6736262787,206538.014433514,208535.608627491,181021.04135217,182418.334489456,197869.099115972,198949.25583645,225327.681762887,226279.542652004,315759.735247655,316387.348120561,8.25e+09
8.25e+09,98612.6736262787,99232.4372837352,208535.608627491,210552.523147679,182418.334489456,183826.413265918,198949.25583645,200035.309072136,226279.542652004,227235.424524028,316387.348120561,317016.208453205,8.3e+09
8.3e+09,99232.4372837352,99856.0960479506,210552.523147679,212588.944856766,183826.413265918,185245.360935693,200035.309072136,201127.291012005,227235.424524028,228195.344365158,317016.208453205,317646.318725208,8.35e+09
8.35e+09,99856.0960479506,100483.67439911,212588.944856766,214645.062424697,185245.360935693,186675.261395518,201127.291012005,202225.234020726,228195.344365158,229159.319233327,317646.318725208,318277.681421102,8.4e+09
8.4e+09,100483.67439911,101115.196971239,214645.062424697,216721.066346155,186675.261395518,188116.199189698,202225.234020726,203329.17063962,229159.319233327,230127.366258504,318277.681421102,318910.299030345,8.45e+09
8.45e+09,101115.196971239,101750.688553172,216721.066346155,218817.148958219,188116.199189698,189568.259515107,203329.17063962,204439.133587632,230127.366258504,231099.502643005,318910.299030345,319544.174047329,8.5e+09
8.5e+09,101750.688553172,102390.174089529,218817.148958219,220933.504458181,189568.259515107,191031.528226227,204439.133587632,205555.155762299,231099.502643005,232075.745661797,319544.174047329,320179.308971394,8.55e+09
8.55e+09,102390.174089529,103033.678681693,220933.504458181,223070.328921546,191031.528226227,192506.091840225,205555.155762299,206677.27024073,232075.745661797,233056.112662808,320179.308971394,320815.706306836,8.6e+09
8.6e+09,103033.678681693,103681.227588794,223070.328921546,225227.820320198,192506.091840225,193992.037542075,206677.27024073,207805.510280585,233056.112662808,234040.621067238,320815.706306836,321453.368562923,8.65e+09
8.65e+09,103681.227588794,104332.84622871,225227.820320198,227406.178540744,193992.037542075,195489.453189711,207805.510280585,208939.909321064,234040.621067238,235029.288369869,321453.368562923,322092.298253901,8.7e+09
8.7e+09,104332.84622871,104988.560179054,227406.178540744,229605.605403037,195489.453189711,196998.427319226,208939.909321064,210080.500983899,235029.288369869,236022.132139376,322092.298253901,322732.497899009,8.75e+09
8.75e+09,104988.560179054,105648.39517819,229605.605403037,231826.304678872,196998.427319226,198519.049150106,210080.500983899,211227.319074353,236022.132139376,237019.170018643,322732.497899009,323373.970022484,8.8e+09
8.8e+09,105648.39517819,106312.377126233,231826.304678872,234068.482110874,198519.049150106,200051.408590506,211227.319074353,212380.39758222,237019.170018643,238020.419725074,323373.970022484,324016.717153579,8.85e+09
8.85e+09,106312.377126233,106980.532086076,234068.482110874,236332.345431552,200051.408590506,201595.596242571,212380.39758222,213539.770682836,238020.419725074,239025.899050914,324016.717153579,324660.741826567,8.9e+09
8.9e+09,106980.532086076,107652.886284407,236332.345431552,238618.104382553,201595.596242571,203151.703407789,213539.770682836,214705.472738091,239025.899050914,240035.625863558,324660.741826567,325306.046580756,8.95e+09
8.95e+09,107652.886284407,108329.46611274,238618.104382553,240925.970734092,203151.703407789,204719.822092394,214705.472738091,215877.538297452,240035.625863558,241049.618105878,325306.046580756,325952.633960496,9e+09
9e+09,108329.46611274,109010.298128455,240925.970734092,243256.158304576,204719.822092394,206300.045012805,215877.538297452,217056.00209898,241049.618105878,242067.893796536,325952.633960496,326600.506515192,9.05e+09
9.05e+09,109010.298128455,109695.409055835,243256.158304576,245608.88298041,206300.045012805,207892.465601109,217056.00209898,218240.899070367,242067.893796536,243090.471030307,326600.506515192,327249.666799314,9.1e+09
9.1e+09,109695.409055835,110384.82578712,245608.88298041,247984.362736003,207892.465601109,209497.178010584,218240.899070367,219432.264329971,243090.471030307,244117.367978401,327249.666799314,327900.117372407,9.15e+09
9.15e+09,110384.82578712,111078.575383561,247984.362736003,250382.817653963,209497.178010584,211114.27712127,219432.264329971,220630.133187853,244117.367978401,245148.602888788,327900.117372407,328551.8607991,9.2e+09
9.2e+09,111078.575383561,111776.685076481,250382.817653963,252804.469945486,211114.27712127,212743.858545578,220630.133187853,221834.541146827,245148.602888788,246184.194086517,328551.8607991,329204.899649119,9.25e+09
9.25e+09,111776.685076481,112479.182268348,252804.469945486,255249.543970946,212743.858545578,214386.018633942,221834.541146827,223045.523903514,246184.194086517,247224.15997405,329204.899649119,329859.236497296,9.3e+09
9.3e+09,112479.182268348,113186.094533846,255249.543970946,257718.26626068,214386.018633942,216040.854480518,223045.523903514,224263.117349397,247224.15997405,248268.519031581,329859.236497296,330514.873923578,9.35e+09
9.35e+09,113186.094533846,113897.449620961,257718.26626068,260210.865535979,216040.854480518,217708.463928925,224263.117349397,225487.357571886,248268.519031581,249317.289817373,330514.873923578,331171.81451304,9.4e+09
9.4e+09,113897.449620961,114613.27545207,260210.865535979,262727.572730275,217708.463928925,219388.945578027,225487.357571886,226718.280855391,249317.289817373,250370.490968081,331171.81451304,331830.060855894,9.45e+09
9.45e+09,114613.27545207,115333.600125035,262727.572730275,265268.62101054,219388.945578027,221082.398787771,226718.280855391,227955.923682391,250370.490968081,251428.141199086,331830.060855894,332489.615547499,9.5e+09
9.5e+09,115333.600125035,116058.451914307,265268.62101054,267834.245798885,221082.398787771,222788.923685051,227955.923682391,229200.322734523,251428.141199086,252490.259304829,332489.615547499,333150.481188372,9.55e+09
9.55e+09,116058.451914307,116787.859272039,267834.245798885,270424.684794378,222788.923685051,224508.62116964,229200.322734523,230451.514893664,252490.259304829,253556.864159143,333150.481188372,333812.660384198,9.6e+09
9.6e+09,116787.859272039,117521.850829197,270424.684794378,273040.177995058,224508.62116964,226241.592920145,230451.514893664,231709.537243027,253556.864159143,254627.97471559,333812.660384198,334476.15574584,9.65e+09
9.65e+09,117521.850829197,118260.455396689,273040.177995058,275680.967720179,226241.592920145,227987.941400027,231709.537243027,232974.427068257,254627.97471559,255703.610007799,334476.15574584,335140.969889351,9.7e+09
9.7e+09,118260.455396689,119003.701966493,275680.967720179,278347.298632653,227987.941400027,229747.769863657,232974.427068257,234246.221858541,255703.610007799,256783.789149798,335140.969889351,335807.105435982,9.75e+09
9.75e+09,119003.701966493,119751.619712797,278347.298632653,281039.417761722,229747.769863657,231521.182362419,234246.221858541,235524.959307716,256783.789149798,257868.531336364,335807.105435982,336474.565012194,9.8e+09
9.8e+09,119751.619712797,120504.237993143,281039.417761722,283757.574525846,231521.182362419,233308.283750864,235524.959307716,236810.677315386,257868.531336364,258957.855843355,336474.565012194,337143.351249668,9.85e+09
9.85e+09,120504.237993143,121261.58634958,283757.574525846,286502.020755807,233308.283750864,235109.17969291,236810.677315386,238103.413988046,258957.855843355,260051.782028058,337143.351249668,337813.466785316,9.9e+09
9.9e+09,121261.58634958,122023.694509822,286502.020755807,289273.010718041,235109.17969291,236923.976668091,238103.413988046,239403.207640214,260051.782028058,261150.32932953,337813.466785316,338484.91426129,9.95e+09
9.95e+09,122023.694509822,122790.592388418,289273.010718041,292070.801138202,236923.976668091,238752.781977848,239403.207640214,240710.096795562,261150.32932953,262253.517268945,338484.91426129,339157.696324994,1e+10
