SIC Code 2ch,SIC Code 4ch,Industry Description 2ch,Industry Description 4ch,Industry Group,Industry
25,2531,Furniture and Fixtures,Public Building and Related Furniture,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
25,2541,Furniture and Fixtures,Wood Partitions and Fixtures,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
25,2542,Furniture and Fixtures,"Partitions and Fixtures, Except Wood",Manufacturing,Finished Goods: Home Goods/Decor & Recreation
25,2591,Furniture and Fixtures,Drapery Hardware and Blinds and Shades,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
25,2599,Furniture and Fixtures,"Furniture and Fixtures, NEC",Manufacturing,Finished Goods: Home Goods/Decor & Recreation
26,2611,Paper and Allied Products,Pulp Mills,Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2621,Paper and Allied Products,Paper Mills,Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2631,Paper and Allied Products,Paperboard Mills,Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2652,Paper and Allied Products,Setup Paperboard Boxes,Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2653,Paper and Allied Products,Corrugated and Solid Fiber Boxes,Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2655,Paper and Allied Products,"Fiber Cans, Drums, and Similar Products",Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2656,Paper and Allied Products,Sanitary Food Containers,Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2657,Paper and Allied Products,Folding Paperboard Boxes,Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2671,Paper and Allied Products,Paper; Coated and Laminated Packaging,Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2672,Paper and Allied Products,"Paper; Coated and Laminated, NEC",Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2673,Paper and Allied Products,"Bags: Plastic, Laminated, and Coated",Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2674,Paper and Allied Products,Bags: Uncoated Paper and Multiwall,Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2675,Paper and Allied Products,Die-cut Paper and Board,Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2676,Paper and Allied Products,Sanitary Paper Products,Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2677,Paper and Allied Products,Envelopes,Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2678,Paper and Allied Products,Stationery Products,Manufacturing,"Print Material, Paper/Stationery & Associated"
26,2679,Paper and Allied Products,"Converted Paper Products, NEC",Manufacturing,"Print Material, Paper/Stationery & Associated"
27,2711,"Printing, Publishing and Allied Industries",Newspapers,Manufacturing,"Print Material, Paper/Stationery & Associated"
27,2721,"Printing, Publishing and Allied Industries",Periodicals,Manufacturing,"Print Material, Paper/Stationery & Associated"
27,2731,"Printing, Publishing and Allied Industries",Book Publishing,Manufacturing,"Print Material, Paper/Stationery & Associated"
27,2732,"Printing, Publishing and Allied Industries",Book Printing,Manufacturing,"Print Material, Paper/Stationery & Associated"
27,2741,"Printing, Publishing and Allied Industries",Miscellaneous Publishing,Manufacturing,"Print Material, Paper/Stationery & Associated"
27,2752,"Printing, Publishing and Allied Industries","Commercial Printing, Lithographic",Manufacturing,"Print Material, Paper/Stationery & Associated"
27,2754,"Printing, Publishing and Allied Industries","Commercial Printing, Gravure",Manufacturing,"Print Material, Paper/Stationery & Associated"
27,2759,"Printing, Publishing and Allied Industries","Commercial Printing, NEC",Manufacturing,"Print Material, Paper/Stationery & Associated"
27,2761,"Printing, Publishing and Allied Industries",Manifold Business Forms,Manufacturing,"Print Material, Paper/Stationery & Associated"
27,2771,"Printing, Publishing and Allied Industries",Greeting Cards,Manufacturing,"Print Material, Paper/Stationery & Associated"
27,2782,"Printing, Publishing and Allied Industries",Blankbooks and Looseleaf Binders,Manufacturing,"Print Material, Paper/Stationery & Associated"
27,2789,"Printing, Publishing and Allied Industries",Bookbinding and Related Work,Manufacturing,"Print Material, Paper/Stationery & Associated"
27,2791,"Printing, Publishing and Allied Industries",Typesetting,Manufacturing,"Print Material, Paper/Stationery & Associated"
27,2796,"Printing, Publishing and Allied Industries",Platemaking Services,Manufacturing,"Print Material, Paper/Stationery & Associated"
28,2812,Chemicals and Allied Products,Alkalies and Chlorine,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2813,Chemicals and Allied Products,Industrial Gases,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2816,Chemicals and Allied Products,Inorganic Pigments,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2819,Chemicals and Allied Products,"Industrial Inorganic Chemicals, NEC",Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2821,Chemicals and Allied Products,Plastics Materials and Resins,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2822,Chemicals and Allied Products,Synthetic Rubber,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2823,Chemicals and Allied Products,Cellulosic Manmade Fibers,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2824,Chemicals and Allied Products,"Organic Fibers, Noncellulosic",Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2833,Chemicals and Allied Products,Medicinals and Botanicals,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2834,Chemicals and Allied Products,Pharmaceutical Preparations,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2835,Chemicals and Allied Products,Diagnostic Substances,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2836,Chemicals and Allied Products,"Biological Products, Except Diagnostic",Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2841,Chemicals and Allied Products,Soap and Other Detergents,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2842,Chemicals and Allied Products,Polishes and Sanitation Goods,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2843,Chemicals and Allied Products,Surface Active Agents,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2844,Chemicals and Allied Products,Toilet Preparations,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2851,Chemicals and Allied Products,Paints and Allied Products,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2861,Chemicals and Allied Products,Gum and Wood Chemicals,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2865,Chemicals and Allied Products,Cyclic Crudes and Intermediates,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2869,Chemicals and Allied Products,"Industrial Organic Chemicals, NEC",Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2873,Chemicals and Allied Products,Nitrogenous Fertilizers,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2874,Chemicals and Allied Products,Phosphatic Fertilizers,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2875,Chemicals and Allied Products,"Fertilizers, Mixing Only",Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2879,Chemicals and Allied Products,"Agricultural Chemicals, NEC",Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2891,Chemicals and Allied Products,Adhesives and Sealants,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2892,Chemicals and Allied Products,Explosives,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2893,Chemicals and Allied Products,Printing Ink,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2895,Chemicals and Allied Products,Carbon Black,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
28,2899,Chemicals and Allied Products,"Chemical Preparations, NEC",Manufacturing,Chemical/Pharma/Petrochem & Allied Products
29,2911,Petroleum Refining and Related Industries,Petroleum Refining,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
29,2951,Petroleum Refining and Related Industries,Asphalt Paving Mixtures and Blocks,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
29,2952,Petroleum Refining and Related Industries,Asphalt Felts and Coatings,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
29,2992,Petroleum Refining and Related Industries,Lubricating Oils and Greases,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
29,2999,Petroleum Refining and Related Industries,"Petroleum and Coal Products, NEC",Manufacturing,Chemical/Pharma/Petrochem & Allied Products
30,3011,Rubber and Miscellaneous Plastic Products,Tires and Inner Tubes,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
30,3021,Rubber and Miscellaneous Plastic Products,Rubber and Plastics Footwear,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
30,3052,Rubber and Miscellaneous Plastic Products,Rubber and Plastics Hose and Beltings,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
30,3053,Rubber and Miscellaneous Plastic Products,Gaskets; Packing and Sealing Devices,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
30,3061,Rubber and Miscellaneous Plastic Products,Mechanical Rubber Goods,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
30,3069,Rubber and Miscellaneous Plastic Products,"Fabricated Rubber Products, NEC",Manufacturing,Chemical/Pharma/Petrochem & Allied Products
30,3081,Rubber and Miscellaneous Plastic Products,Unsupported Plastics Film and Sheet,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
30,3082,Rubber and Miscellaneous Plastic Products,Unsupported Plastics Profile Shapes,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
30,3083,Rubber and Miscellaneous Plastic Products,Laminated Plastics Plate and Sheet,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
30,3084,Rubber and Miscellaneous Plastic Products,Plastics Pipe,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
30,3085,Rubber and Miscellaneous Plastic Products,Plastics Bottles,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
30,3086,Rubber and Miscellaneous Plastic Products,Plastics Foam Products,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
30,3087,Rubber and Miscellaneous Plastic Products,Custom Compound Purchased Resins,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
30,3088,Rubber and Miscellaneous Plastic Products,Plastics Plumbing Fixtures,Manufacturing,Chemical/Pharma/Petrochem & Allied Products
30,3089,Rubber and Miscellaneous Plastic Products,"Plastics Products, NEC",Manufacturing,Chemical/Pharma/Petrochem & Allied Products
31,3111,Leather and Leather Products,Leather Tanning and Finishing,Manufacturing,Finished Goods: Apparel & Accessories
31,3131,Leather and Leather Products,Footwear Cut Stock,Manufacturing,Finished Goods: Apparel & Accessories
31,3142,Leather and Leather Products,House Slippers,Manufacturing,Finished Goods: Apparel & Accessories
31,3143,Leather and Leather Products,"Men's Footwear, Except athletic",Manufacturing,Finished Goods: Apparel & Accessories
31,3144,Leather and Leather Products,"Women's Footwear, Except athletic",Manufacturing,Finished Goods: Apparel & Accessories
31,3149,Leather and Leather Products,"Footwear, Except Rubber, NEC",Manufacturing,Finished Goods: Apparel & Accessories
31,3151,Leather and Leather Products,Leather Gloves and Mittens,Manufacturing,Finished Goods: Apparel & Accessories
31,3161,Leather and Leather Products,Luggage,Manufacturing,Finished Goods: Apparel & Accessories
31,3171,Leather and Leather Products,Women's Handbags and Purses,Manufacturing,Finished Goods: Apparel & Accessories
31,3172,Leather and Leather Products,"Personal Leather Goods, NEC",Manufacturing,Finished Goods: Apparel & Accessories
31,3199,Leather and Leather Products,"Leather Goods, NEC",Manufacturing,Finished Goods: Apparel & Accessories
32,3211,"Stone, Clay, Glass, and Concrete Products",Flat Glass,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
32,3221,"Stone, Clay, Glass, and Concrete Products",Glass Containers,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
32,3229,"Stone, Clay, Glass, and Concrete Products","Pressed and Blown Glass, NEC",Manufacturing,Finished Goods: Home Goods/Decor & Recreation
32,3231,"Stone, Clay, Glass, and Concrete Products",Products of Purchased Glass,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
32,3241,"Stone, Clay, Glass, and Concrete Products","Cement, Hydraulic",Manufacturing,Construction Materials
32,3251,"Stone, Clay, Glass, and Concrete Products",Brick and Structural Clay Tile,Manufacturing,Construction Materials
32,3253,"Stone, Clay, Glass, and Concrete Products",Ceramic Wall and Floor Tile,Manufacturing,Construction Materials
32,3255,"Stone, Clay, Glass, and Concrete Products",Clay Refractories,Manufacturing,Construction Materials
32,3259,"Stone, Clay, Glass, and Concrete Products","Structural Clay Products, NEC",Manufacturing,Construction Materials
32,3261,"Stone, Clay, Glass, and Concrete Products",Vitreous Plumbing Fixtures,Manufacturing,Construction Materials
32,3262,"Stone, Clay, Glass, and Concrete Products",Vitreous China Table and Kitchenware,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
32,3263,"Stone, Clay, Glass, and Concrete Products",Semivitreous Table and Kitchenware,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
32,3264,"Stone, Clay, Glass, and Concrete Products",Porcelain Electrical Supplies,Manufacturing,Construction Materials
32,3269,"Stone, Clay, Glass, and Concrete Products","Pottery Products, NEC",Manufacturing,Finished Goods: Home Goods/Decor & Recreation
32,3271,"Stone, Clay, Glass, and Concrete Products",Concrete Block and Brick,Manufacturing,Construction Materials
32,3272,"Stone, Clay, Glass, and Concrete Products","Concrete Products, NEC",Manufacturing,Construction Materials
32,3273,"Stone, Clay, Glass, and Concrete Products",Ready-mixed Concrete,Manufacturing,Construction Materials
32,3274,"Stone, Clay, Glass, and Concrete Products",Lime,Manufacturing,Construction Materials
32,3275,"Stone, Clay, Glass, and Concrete Products",Gypsum Products,Manufacturing,Construction Materials
32,3281,"Stone, Clay, Glass, and Concrete Products",Cut Stone and Stone Products,Manufacturing,Construction Materials
32,3291,"Stone, Clay, Glass, and Concrete Products",Abrasive Products,Manufacturing,Construction Materials
32,3292,"Stone, Clay, Glass, and Concrete Products",Asbestos Products,Manufacturing,Construction Materials
32,3295,"Stone, Clay, Glass, and Concrete Products","Minerals, Ground or Treated",Manufacturing,Construction Materials
32,3296,"Stone, Clay, Glass, and Concrete Products",Mineral Wool,Manufacturing,Construction Materials
32,3297,"Stone, Clay, Glass, and Concrete Products",Nonclay Refractories,Manufacturing,Construction Materials
32,3299,"Stone, Clay, Glass, and Concrete Products","Nonmetallic Mineral Products,",Manufacturing,Construction Materials
33,3312,Primary Metal Industries,Blast Furnaces and Steel Mills,Manufacturing,Raw Materials & Fuels
33,3313,Primary Metal Industries,Electrometallurgical Products,Manufacturing,Raw Materials & Fuels
33,3315,Primary Metal Industries,Steel Wire and Related Products,Manufacturing,Raw Materials & Fuels
33,3316,Primary Metal Industries,Cold Finishing of Steel Shapes,Manufacturing,Raw Materials & Fuels
33,3317,Primary Metal Industries,Steel Pipe and Tubes,Manufacturing,Raw Materials & Fuels
33,3321,Primary Metal Industries,Gray and Ductile Iron Foundries,Manufacturing,Raw Materials & Fuels
33,3322,Primary Metal Industries,Malleable Iron Foundries,Manufacturing,Raw Materials & Fuels
33,3324,Primary Metal Industries,Steel Investment Foundries,Manufacturing,Raw Materials & Fuels
33,3325,Primary Metal Industries,"Steel Foundries, NEC",Manufacturing,Raw Materials & Fuels
33,3331,Primary Metal Industries,Primary Copper,Manufacturing,Raw Materials & Fuels
33,3334,Primary Metal Industries,Primary Aluminum,Manufacturing,Raw Materials & Fuels
33,3339,Primary Metal Industries,"Primary Nonferrous Metals, NEC",Manufacturing,Raw Materials & Fuels
33,3341,Primary Metal Industries,Secondary Nonferrous Metals,Manufacturing,Raw Materials & Fuels
33,3351,Primary Metal Industries,Copper Rolling and Drawing,Manufacturing,Raw Materials & Fuels
33,3353,Primary Metal Industries,"Aluminum Sheet, Plate, and Foil",Manufacturing,Raw Materials & Fuels
33,3354,Primary Metal Industries,Aluminum Extruded Products,Manufacturing,Raw Materials & Fuels
33,3355,Primary Metal Industries,"Aluminum Rolling and Drawing, NEC",Manufacturing,Raw Materials & Fuels
33,3356,Primary Metal Industries,"Nonferrous Rolling and Drawing, NEC",Manufacturing,Raw Materials & Fuels
33,3357,Primary Metal Industries,Nonferrous Wiredrawing and Insulating,Manufacturing,Raw Materials & Fuels
33,3363,Primary Metal Industries,Aluminum Die-castings,Manufacturing,Raw Materials & Fuels
33,3364,Primary Metal Industries,Nonferrous Die-castings Except Aluminum,Manufacturing,Raw Materials & Fuels
33,3365,Primary Metal Industries,Aluminum Foundries,Manufacturing,Raw Materials & Fuels
33,3366,Primary Metal Industries,Copper Foundries,Manufacturing,Raw Materials & Fuels
33,3369,Primary Metal Industries,"Nonferrous Foundries, NEC",Manufacturing,Raw Materials & Fuels
33,3398,Primary Metal Industries,Metal Heat Treating,Manufacturing,Raw Materials & Fuels
33,3399,Primary Metal Industries,Primary Metal Products,Manufacturing,Raw Materials & Fuels
34,3411,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Metal Cans,Manufacturing,Construction Materials
34,3412,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt","Metal Barrels, Drums, and Pails",Manufacturing,Construction Materials
34,3421,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Cutlery,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
34,3423,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt","Hand and Edge Tools, NEC",Manufacturing,Construction Materials
34,3425,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Saw Blades and Handsaws,Manufacturing,Construction Materials
34,3429,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt","Hardware, NEC",Manufacturing,Construction Materials
34,3431,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Metal Sanitary Ware,Manufacturing,Construction Materials
34,3432,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Plumbing Fixture Fittings and Trim,Manufacturing,Construction Materials
34,3433,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt","Heating Equipment, Except Electric",Manufacturing,Construction Materials
34,3441,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Fabricated Structural Metal,Manufacturing,Construction Materials
34,3442,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt","Metal Doors, Sash, and Trim",Manufacturing,Construction Materials
34,3443,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Fabricated Plate Work (boiler Shop),Manufacturing,Construction Materials
34,3444,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Sheet Metalwork,Manufacturing,Construction Materials
34,3446,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Architectural Metalwork,Manufacturing,Construction Materials
34,3448,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Prefabricated Metal Buildings,Manufacturing,Construction Materials
34,3449,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Miscellaneous Metalwork,Manufacturing,Construction Materials
34,3451,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Screw Machine Products,Manufacturing,Construction Materials
34,3452,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt","Bolts, Nuts, Rivets, and Washers",Manufacturing,Construction Materials
34,3462,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Iron and Steel Forgings,Manufacturing,Construction Materials
34,3463,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Nonferrous Forgings,Manufacturing,Construction Materials
34,3465,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Automotive Stampings,Manufacturing,Construction Materials
34,3466,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Crowns and Closures,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
34,3469,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt","Metal Stampings, NEC",Manufacturing,Construction Materials
34,3471,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Plating and Polishing,Manufacturing,Construction Materials
34,3479,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Metal Coating and Allied Services,Manufacturing,Construction Materials
34,3482,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Small Arms Ammunition,Manufacturing,Weapons & Ammunition
34,3483,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt","Ammunition, Except For Small Arms, NEC",Manufacturing,Weapons & Ammunition
34,3484,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Small Arms,Manufacturing,Weapons & Ammunition
34,3489,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt","Ordnance and Accessories, NEC",Manufacturing,Weapons & Ammunition
34,3491,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Industrial Valves,Manufacturing,Construction Materials
34,3492,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Fluid Power Valves and Hose Fittings,Manufacturing,Construction Materials
34,3493,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt","Steel Springs, Except Wire",Manufacturing,Construction Materials
34,3494,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt","Valves and Pipe Fittings, NEC",Manufacturing,Construction Materials
34,3495,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Wire Springs,Manufacturing,Construction Materials
34,3496,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Miscellaneous Fabricated Wire Products,Manufacturing,Construction Materials
34,3497,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Metal Foil and Leaf,Manufacturing,Construction Materials
34,3498,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt",Fabricated Pipe and Fittings,Manufacturing,Construction Materials
34,3499,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt","Fabricated Metal Products, NEC",Manufacturing,Construction Materials
35,3511,Industrial and Commercial Machinery and Computer Equipment,Turbines and Turbine Generator Sets,Manufacturing,Finished Goods: Heavy Equipment
35,3519,Industrial and Commercial Machinery and Computer Equipment,"Internal Combustion Engines, NEC",Manufacturing,Finished Goods: Heavy Equipment
35,3523,Industrial and Commercial Machinery and Computer Equipment,Farm Machinery and Equipment,Manufacturing,Finished Goods: Heavy Equipment
35,3524,Industrial and Commercial Machinery and Computer Equipment,Lawn and Garden Equipment,Manufacturing,Finished Goods: Heavy Equipment
35,3531,Industrial and Commercial Machinery and Computer Equipment,Construction Machinery,Manufacturing,Finished Goods: Heavy Equipment
35,3532,Industrial and Commercial Machinery and Computer Equipment,Mining Machinery,Manufacturing,Finished Goods: Heavy Equipment
35,3533,Industrial and Commercial Machinery and Computer Equipment,Oil and Gas Field Machinery,Manufacturing,Finished Goods: Heavy Equipment
35,3534,Industrial and Commercial Machinery and Computer Equipment,Elevators and Moving Stairways,Manufacturing,Finished Goods: Heavy Equipment
35,3535,Industrial and Commercial Machinery and Computer Equipment,Conveyors and Conveying Equipment,Manufacturing,Finished Goods: Heavy Equipment
35,3536,Industrial and Commercial Machinery and Computer Equipment,"Hoists, Cranes, and Monorails",Manufacturing,Finished Goods: Heavy Equipment
35,3537,Industrial and Commercial Machinery and Computer Equipment,Industrial Trucks and Tractors,Manufacturing,Finished Goods: Heavy Equipment
35,3541,Industrial and Commercial Machinery and Computer Equipment,"Machine Tools, Metal Cutting Type",Manufacturing,Finished Goods: Heavy Equipment
35,3542,Industrial and Commercial Machinery and Computer Equipment,"Machine Tools, Metal Forming Type",Manufacturing,Finished Goods: Heavy Equipment
35,3543,Industrial and Commercial Machinery and Computer Equipment,Industrial Patterns,Manufacturing,Finished Goods: Heavy Equipment
35,3544,Industrial and Commercial Machinery and Computer Equipment,"Special Dies, Tools, Jigs, and Fixtures",Manufacturing,Finished Goods: Heavy Equipment
35,3545,Industrial and Commercial Machinery and Computer Equipment,Machine Tool Accessories,Manufacturing,Finished Goods: Heavy Equipment
35,3546,Industrial and Commercial Machinery and Computer Equipment,Power-driven Handtools,Manufacturing,Finished Goods: Heavy Equipment
35,3547,Industrial and Commercial Machinery and Computer Equipment,Rolling Mill Machinery,Manufacturing,Finished Goods: Heavy Equipment
35,3548,Industrial and Commercial Machinery and Computer Equipment,Welding Apparatus,Manufacturing,Finished Goods: Heavy Equipment
35,3549,Industrial and Commercial Machinery and Computer Equipment,"Metalworking Machinery, NEC",Manufacturing,Finished Goods: Heavy Equipment
35,3552,Industrial and Commercial Machinery and Computer Equipment,Textile Machinery,Manufacturing,Finished Goods: Heavy Equipment
35,3553,Industrial and Commercial Machinery and Computer Equipment,Woodworking Machinery,Manufacturing,Finished Goods: Heavy Equipment
35,3554,Industrial and Commercial Machinery and Computer Equipment,Paper Industries Machinery,Manufacturing,Finished Goods: Heavy Equipment
35,3555,Industrial and Commercial Machinery and Computer Equipment,Printing Trades Machinery,Manufacturing,Finished Goods: Heavy Equipment
35,3556,Industrial and Commercial Machinery and Computer Equipment,Food Products Machinery,Manufacturing,Finished Goods: Heavy Equipment
35,3559,Industrial and Commercial Machinery and Computer Equipment,"Special Industry Machinery, NEC",Manufacturing,Finished Goods: Heavy Equipment
35,3561,Industrial and Commercial Machinery and Computer Equipment,Pumps and Pumping Equipment,Manufacturing,Finished Goods: Heavy Equipment
35,3562,Industrial and Commercial Machinery and Computer Equipment,Ball and Roller Bearings,Manufacturing,Finished Goods: Heavy Equipment
35,3563,Industrial and Commercial Machinery and Computer Equipment,Air and Gas Compressors,Manufacturing,Finished Goods: Heavy Equipment
35,3564,Industrial and Commercial Machinery and Computer Equipment,Blowers and Fans,Manufacturing,Finished Goods: Heavy Equipment
35,3565,Industrial and Commercial Machinery and Computer Equipment,Packaging Machinery,Manufacturing,Finished Goods: Heavy Equipment
35,3566,Industrial and Commercial Machinery and Computer Equipment,"Speed Changers, Drives, and Gears",Manufacturing,Finished Goods: Heavy Equipment
35,3567,Industrial and Commercial Machinery and Computer Equipment,Industrial Furnaces and Ovens,Manufacturing,Finished Goods: Heavy Equipment
35,3568,Industrial and Commercial Machinery and Computer Equipment,"Power Transmission Equipment, NEC",Manufacturing,Finished Goods: Heavy Equipment
35,3569,Industrial and Commercial Machinery and Computer Equipment,"General Industrial Machinery,",Manufacturing,Finished Goods: Heavy Equipment
35,3571,Industrial and Commercial Machinery and Computer Equipment,Electronic Computers,Manufacturing,Finished Goods: Electronics & Computing
35,3572,Industrial and Commercial Machinery and Computer Equipment,Computer Storage Devices,Manufacturing,Finished Goods: Electronics & Computing
35,3575,Industrial and Commercial Machinery and Computer Equipment,Computer Terminals,Manufacturing,Finished Goods: Electronics & Computing
35,3577,Industrial and Commercial Machinery and Computer Equipment,"Computer Peripheral Equipment, NEC",Manufacturing,Finished Goods: Electronics & Computing
35,3578,Industrial and Commercial Machinery and Computer Equipment,Calculating and Accounting Equipment,Manufacturing,Finished Goods: Electronics & Computing
35,3579,Industrial and Commercial Machinery and Computer Equipment,"Office Machines, NEC",Manufacturing,Finished Goods: Electronics & Computing
35,3581,Industrial and Commercial Machinery and Computer Equipment,Automatic Vending Machines,Manufacturing,Finished Goods: Heavy Equipment
35,3582,Industrial and Commercial Machinery and Computer Equipment,Commercial Laundry Equipment,Manufacturing,Finished Goods: Heavy Equipment
35,3585,Industrial and Commercial Machinery and Computer Equipment,Refrigeration and Heating Equipment,Manufacturing,Finished Goods: Heavy Equipment
35,3586,Industrial and Commercial Machinery and Computer Equipment,Measuring and Dispensing Pumps,Manufacturing,Finished Goods: Heavy Equipment
35,3589,Industrial and Commercial Machinery and Computer Equipment,"Service Industry Machinery, NEC",Manufacturing,Finished Goods: Heavy Equipment
35,3592,Industrial and Commercial Machinery and Computer Equipment,"Carburetors, Pistons, Rings, Valves",Manufacturing,Finished Goods: Heavy Equipment
35,3593,Industrial and Commercial Machinery and Computer Equipment,Fluid Power Cylinders and Actuators,Manufacturing,Finished Goods: Heavy Equipment
35,3594,Industrial and Commercial Machinery and Computer Equipment,Fluid Power Pumps and Motors,Manufacturing,Finished Goods: Heavy Equipment
