rp,curve,loss
rp_500,Caribbean Windstorm Jamaica (RMS),7605489943.00
rp_1000,Caribbean Windstorm Jamaica (RMS),9051137490.00
rp_5,Caribbean Windstorm Puerto Rico (RMS),12536083.00
rp_10,Caribbean Windstorm Puerto Rico (RMS),526895257.00
rp_25,Caribbean Windstorm Puerto Rico (RMS),3259272598.00
rp_50,Caribbean Windstorm Puerto Rico (RMS),6626933284.00
rp_100,Caribbean Windstorm Puerto Rico (RMS),11141054096.00
rp_200,Caribbean Windstorm Puerto Rico (RMS),17466615700.00
rp_250,Caribbean Windstorm Puerto Rico (RMS),19888328222.00
rp_500,Caribbean Windstorm Puerto Rico (RMS),28323273412.00
rp_1000,Caribbean Windstorm Puerto Rico (RMS),41083855899.00
rp_5,Caribbean Windstorm Trinidad and Tobago (RMS),0.00
rp_10,Caribbean Windstorm Trinidad and Tobago (RMS),0.00
rp_25,Caribbean Windstorm Trinidad and Tobago (RMS),6812.00
rp_50,Caribbean Windstorm Trinidad and Tobago (RMS),30012302.00
rp_100,Caribbean Windstorm Trinidad and Tobago (RMS),314415106.00
rp_200,Caribbean Windstorm Trinidad and Tobago (RMS),1441848321.00
rp_250,Caribbean Windstorm Trinidad and Tobago (RMS),1945685972.00
rp_500,Caribbean Windstorm Trinidad and Tobago (RMS),3778367367.00
rp_1000,Caribbean Windstorm Trinidad and Tobago (RMS),5769497832.00
rp_5,Caribbean Windstorm Turks and Caicos Islands (RMS),7667743.00
rp_10,Caribbean Windstorm Turks and Caicos Islands (RMS),118467152.00
rp_25,Caribbean Windstorm Turks and Caicos Islands (RMS),385077818.00
rp_50,Caribbean Windstorm Turks and Caicos Islands (RMS),652073104.00
rp_100,Caribbean Windstorm Turks and Caicos Islands (RMS),1014665151.00
rp_200,Caribbean Windstorm Turks and Caicos Islands (RMS),1625305986.00
rp_250,Caribbean Windstorm Turks and Caicos Islands (RMS),1837743315.00
rp_500,Caribbean Windstorm Turks and Caicos Islands (RMS),2463822801.00
rp_1000,Caribbean Windstorm Turks and Caicos Islands (RMS),2944342194.00
rp_5,Caribbean Windstorm US Virgin Islands (RMS),2818109.00
rp_10,Caribbean Windstorm US Virgin Islands (RMS),125034143.00
rp_25,Caribbean Windstorm US Virgin Islands (RMS),589887406.00
rp_50,Caribbean Windstorm US Virgin Islands (RMS),1167641758.00
rp_100,Caribbean Windstorm US Virgin Islands (RMS),1970536841.00
rp_200,Caribbean Windstorm US Virgin Islands (RMS),2923896470.00
rp_250,Caribbean Windstorm US Virgin Islands (RMS),3187528425.00
rp_500,Caribbean Windstorm US Virgin Islands (RMS),4310630081.00
rp_1000,Caribbean Windstorm US Virgin Islands (RMS),5658955734.00
rp_5,Caribbean Windstorm All (RMS),2056913165.00
rp_10,Caribbean Windstorm All (RMS),4281029352.00
rp_25,Caribbean Windstorm All (RMS),8618651977.00
rp_50,Caribbean Windstorm All (RMS),12939869572.00
rp_100,Caribbean Windstorm All (RMS),18340017757.00
rp_200,Caribbean Windstorm All (RMS),25643359039.00
rp_250,Caribbean Windstorm All (RMS),28230837190.00
rp_500,Caribbean Windstorm All (RMS),38116760936.00
rp_1000,Caribbean Windstorm All (RMS),51063456399.00
rp_5,Caribbean Windstorm All (AIR),3125469285.00
rp_10,Caribbean Windstorm All (AIR),8369188910.00
rp_25,Caribbean Windstorm All (AIR),20164142327.00
rp_50,Caribbean Windstorm All (AIR),31442654487.00
rp_100,Caribbean Windstorm All (AIR),43525048338.00
rp_200,Caribbean Windstorm All (AIR),61608520804.00
rp_250,Caribbean Windstorm All (AIR),69472073390.00
rp_500,Caribbean Windstorm All (AIR),96305668523.00
rp_1000,Caribbean Windstorm All (AIR),115141702036.00
rp_5,Caribbean Windstorm Anguilla (AIR),979060.00
rp_10,Caribbean Windstorm Anguilla (AIR),7888009.00
rp_25,Caribbean Windstorm Anguilla (AIR),106804574.00
rp_50,Caribbean Windstorm Anguilla (AIR),315559874.00
rp_100,Caribbean Windstorm Anguilla (AIR),517440277.00
rp_200,Caribbean Windstorm Anguilla (AIR),744454173.00
rp_250,Caribbean Windstorm Anguilla (AIR),771618644.00
rp_500,Caribbean Windstorm Anguilla (AIR),909468281.00
rp_1000,Caribbean Windstorm Anguilla (AIR),1016764425.00
rp_5,Caribbean Windstorm Antigua & Barbuda (AIR),10821492.00
rp_10,Caribbean Windstorm Antigua & Barbuda (AIR),53254449.00
rp_25,Caribbean Windstorm Antigua & Barbuda (AIR),505962711.00
rp_50,Caribbean Windstorm Antigua & Barbuda (AIR),1482118599.00
rp_100,Caribbean Windstorm Antigua & Barbuda (AIR),3152445459.00
rp_200,Caribbean Windstorm Antigua & Barbuda (AIR),4250241889.00
rp_250,Caribbean Windstorm Antigua & Barbuda (AIR),4451684686.00
rp_500,Caribbean Windstorm Antigua & Barbuda (AIR),5153668621.00
rp_1000,Caribbean Windstorm Antigua & Barbuda (AIR),5498331447.00
rp_5,Caribbean Windstorm Aruba (AIR),16554.00
rp_10,Caribbean Windstorm Aruba (AIR),5486274.00
rp_25,Caribbean Windstorm Aruba (AIR),23984414.00
rp_50,Caribbean Windstorm Aruba (AIR),44651404.00
rp_100,Caribbean Windstorm Aruba (AIR),80812030.00
rp_200,Caribbean Windstorm Aruba (AIR),220178946.00
rp_250,Caribbean Windstorm Aruba (AIR),278978149.00
rp_500,Caribbean Windstorm Aruba (AIR),828859081.00
rp_1000,Caribbean Windstorm Aruba (AIR),1516168562.00
rp_5,Caribbean Windstorm Bahamas (AIR),180625823.00
rp_10,Caribbean Windstorm Bahamas (AIR),568399141.00
rp_25,Caribbean Windstorm Bahamas (AIR),1667519231.00
rp_50,Caribbean Windstorm Bahamas (AIR),3493729038.00
rp_100,Caribbean Windstorm Bahamas (AIR),7424454901.00
rp_200,Caribbean Windstorm Bahamas (AIR),12623509537.00
rp_250,Caribbean Windstorm Bahamas (AIR),14384990629.00
rp_500,Caribbean Windstorm Bahamas (AIR),22445368923.00
rp_1000,Caribbean Windstorm Bahamas (AIR),27455380833.00
rp_5,Caribbean Windstorm Barbados (AIR),9432144.00
rp_10,Caribbean Windstorm Barbados (AIR),43774254.00
rp_25,Caribbean Windstorm Barbados (AIR),109257696.00
rp_50,Caribbean Windstorm Barbados (AIR),189716294.00
rp_100,Caribbean Windstorm Barbados (AIR),366015073.00
rp_200,Caribbean Windstorm Barbados (AIR),841513805.00
rp_250,Caribbean Windstorm Barbados (AIR),1174429223.00
rp_500,Caribbean Windstorm Barbados (AIR),2409282991.00
rp_1000,Caribbean Windstorm Barbados (AIR),6823951389.00
rp_5,Caribbean Windstorm Bermuda (AIR),30444034.00
rp_10,Caribbean Windstorm Bermuda (AIR),145830311.00
rp_25,Caribbean Windstorm Bermuda (AIR),503269875.00
rp_50,Caribbean Windstorm Bermuda (AIR),1111803952.00
rp_100,Caribbean Windstorm Bermuda (AIR),2123699586.00
rp_200,Caribbean Windstorm Bermuda (AIR),4237303799.00
rp_250,Caribbean Windstorm Bermuda (AIR),4886683995.00
rp_500,Caribbean Windstorm Bermuda (AIR),6827190536.00
rp_1000,Caribbean Windstorm Bermuda (AIR),8106664938.00
rp_5,Caribbean Windstorm Bonaire & Saint Eustatius & Saba (AIR),1364892.00
rp_10,Caribbean Windstorm Bonaire & Saint Eustatius & Saba (AIR),5646094.00
rp_25,Caribbean Windstorm Bonaire & Saint Eustatius & Saba (AIR),46652384.00
rp_50,Caribbean Windstorm Bonaire & Saint Eustatius & Saba (AIR),161997102.00
rp_100,Caribbean Windstorm Bonaire & Saint Eustatius & Saba (AIR),275954332.00
rp_200,Caribbean Windstorm Bonaire & Saint Eustatius & Saba (AIR),384636758.00
rp_250,Caribbean Windstorm Bonaire & Saint Eustatius & Saba (AIR),409508161.00
rp_500,Caribbean Windstorm Bonaire & Saint Eustatius & Saba (AIR),451870919.00
rp_1000,Caribbean Windstorm Bonaire & Saint Eustatius & Saba (AIR),499559158.00
rp_5,Caribbean Windstorm British Virgin Islands (AIR),5651687.00
rp_10,Caribbean Windstorm British Virgin Islands (AIR),31811664.00
rp_25,Caribbean Windstorm British Virgin Islands (AIR),267322073.00
rp_50,Caribbean Windstorm British Virgin Islands (AIR),938353835.00
rp_100,Caribbean Windstorm British Virgin Islands (AIR),1615255267.00
rp_200,Caribbean Windstorm British Virgin Islands (AIR),1991679312.00
rp_250,Caribbean Windstorm British Virgin Islands (AIR),2174546464.00
rp_500,Caribbean Windstorm British Virgin Islands (AIR),2797867783.00
rp_1000,Caribbean Windstorm British Virgin Islands (AIR),2997807624.00
rp_5,Caribbean Windstorm Cayman Islands (AIR),6975421.00
rp_10,Caribbean Windstorm Cayman Islands (AIR),48505091.00
rp_25,Caribbean Windstorm Cayman Islands (AIR),249611258.00
rp_50,Caribbean Windstorm Cayman Islands (AIR),804601890.00
rp_100,Caribbean Windstorm Cayman Islands (AIR),1867419984.00
rp_200,Caribbean Windstorm Cayman Islands (AIR),2809587127.00
rp_250,Caribbean Windstorm Cayman Islands (AIR),3242576140.00
rp_500,Caribbean Windstorm Cayman Islands (AIR),5283940316.00
rp_1000,Caribbean Windstorm Cayman Islands (AIR),7313740631.00
rp_5,Caribbean Windstorm Cuba (AIR),548653187.00
rp_10,Caribbean Windstorm Cuba (AIR),1458134840.00
rp_25,Caribbean Windstorm Cuba (AIR),5027689006.00
rp_50,Caribbean Windstorm Cuba (AIR),9115570437.00
rp_100,Caribbean Windstorm Cuba (AIR),14230323071.00
rp_200,Caribbean Windstorm Cuba (AIR),20828829931.00
rp_250,Caribbean Windstorm Cuba (AIR),22388785137.00
rp_500,Caribbean Windstorm Cuba (AIR),30683933512.00
rp_1000,Caribbean Windstorm Cuba (AIR),34441607042.00
rp_5,Caribbean Windstorm Dominica (AIR),5235400.00
rp_10,Caribbean Windstorm Dominica (AIR),13239965.00
rp_25,Caribbean Windstorm Dominica (AIR),41411846.00
rp_50,Caribbean Windstorm Dominica (AIR),116960755.00
rp_100,Caribbean Windstorm Dominica (AIR),322899430.00
rp_200,Caribbean Windstorm Dominica (AIR),593363685.00
rp_250,Caribbean Windstorm Dominica (AIR),687001776.00
rp_500,Caribbean Windstorm Dominica (AIR),921002798.00
rp_1000,Caribbean Windstorm Dominica (AIR),1119178159.00
rp_5,Caribbean Windstorm Dominican Republic (AIR),140816166.00
rp_10,Caribbean Windstorm Dominican Republic (AIR),400782920.00
rp_25,Caribbean Windstorm Dominican Republic (AIR),1496937568.00
rp_50,Caribbean Windstorm Dominican Republic (AIR),3623753603.00
rp_100,Caribbean Windstorm Dominican Republic (AIR),7406644226.00
rp_200,Caribbean Windstorm Dominican Republic (AIR),13551240103.00
rp_250,Caribbean Windstorm Dominican Republic (AIR),15408132322.00
rp_500,Caribbean Windstorm Dominican Republic (AIR),23292977518.00
rp_1000,Caribbean Windstorm Dominican Republic (AIR),31183273914.00
rp_5,Caribbean Windstorm Grenada (AIR),900928.00
rp_10,Caribbean Windstorm Grenada (AIR),8229608.00
rp_25,Caribbean Windstorm Grenada (AIR),33812798.00
rp_50,Caribbean Windstorm Grenada (AIR),92271497.00
rp_100,Caribbean Windstorm Grenada (AIR),184004518.00
rp_200,Caribbean Windstorm Grenada (AIR),470234282.00
rp_250,Caribbean Windstorm Grenada (AIR),627230166.00
rp_500,Caribbean Windstorm Grenada (AIR),1096995814.00
rp_1000,Caribbean Windstorm Grenada (AIR),1478157042.00
rp_5,Caribbean Windstorm Guadeloupe (AIR),92666189.00
rp_10,Caribbean Windstorm Guadeloupe (AIR),314701380.00
rp_25,Caribbean Windstorm Guadeloupe (AIR),1275716401.00
rp_50,Caribbean Windstorm Guadeloupe (AIR),3848306014.00
rp_100,Caribbean Windstorm Guadeloupe (AIR),8935423221.00
rp_200,Caribbean Windstorm Guadeloupe (AIR),13558443224.00
rp_250,Caribbean Windstorm Guadeloupe (AIR),15329583532.00
rp_500,Caribbean Windstorm Guadeloupe (AIR),18948634733.00
rp_1000,Caribbean Windstorm Guadeloupe (AIR),23566090374.00
rp_5,Caribbean Windstorm Haiti (AIR),45384413.00
rp_10,Caribbean Windstorm Haiti (AIR),131125175.00
rp_25,Caribbean Windstorm Haiti (AIR),410706346.00
rp_50,Caribbean Windstorm Haiti (AIR),869768891.00
rp_100,Caribbean Windstorm Haiti (AIR),1873818585.00
rp_200,Caribbean Windstorm Haiti (AIR),3070937945.00
rp_250,Caribbean Windstorm Haiti (AIR),3706928855.00
rp_500,Caribbean Windstorm Haiti (AIR),5751228134.00
rp_1000,Caribbean Windstorm Haiti (AIR),6680035432.00
rp_5,Caribbean Windstorm Jamaica (AIR),47101243.00
rp_10,Caribbean Windstorm Jamaica (AIR),196092364.00
rp_25,Caribbean Windstorm Jamaica (AIR),654297146.00
rp_50,Caribbean Windstorm Jamaica (AIR),1496996794.00
rp_100,Caribbean Windstorm Jamaica (AIR),3057283570.00
rp_200,Caribbean Windstorm Jamaica (AIR),5818023737.00
rp_250,Caribbean Windstorm Jamaica (AIR),6598094971.00
rp_500,Caribbean Windstorm Jamaica (AIR),9523425175.00
rp_1000,Caribbean Windstorm Jamaica (AIR),13594966466.00
rp_5,Caribbean Windstorm Martinique (AIR),47650259.00
rp_10,Caribbean Windstorm Martinique (AIR),132089818.00
rp_25,Caribbean Windstorm Martinique (AIR),315960144.00
rp_50,Caribbean Windstorm Martinique (AIR),593162798.00
rp_100,Caribbean Windstorm Martinique (AIR),1439300814.00
rp_200,Caribbean Windstorm Martinique (AIR),4215273447.00
rp_250,Caribbean Windstorm Martinique (AIR),5476761302.00
rp_500,Caribbean Windstorm Martinique (AIR),9011356278.00
rp_1000,Caribbean Windstorm Martinique (AIR),14940402865.00
rp_5,Caribbean Windstorm Montserrat (AIR),317502.00
rp_10,Caribbean Windstorm Montserrat (AIR),2153912.00
rp_25,Caribbean Windstorm Montserrat (AIR),18163224.00
rp_50,Caribbean Windstorm Montserrat (AIR),58273631.00
rp_100,Caribbean Windstorm Montserrat (AIR),137051475.00
rp_200,Caribbean Windstorm Montserrat (AIR),188138702.00
rp_250,Caribbean Windstorm Montserrat (AIR),195853457.00
rp_500,Caribbean Windstorm Montserrat (AIR),231937471.00
rp_1000,Caribbean Windstorm Montserrat (AIR),243175543.00
rp_5,Caribbean Windstorm Puerto Rico (AIR),36483268.00
rp_10,Caribbean Windstorm Puerto Rico (AIR),185436016.00
rp_25,Caribbean Windstorm Puerto Rico (AIR),2625057626.00
rp_50,Caribbean Windstorm Puerto Rico (AIR),10740071474.00
rp_100,Caribbean Windstorm Puerto Rico (AIR),22096447780.00
rp_200,Caribbean Windstorm Puerto Rico (AIR),38145048250.00
rp_250,Caribbean Windstorm Puerto Rico (AIR),42585015889.00
rp_500,Caribbean Windstorm Puerto Rico (AIR),63634303659.00
rp_1000,Caribbean Windstorm Puerto Rico (AIR),78889170071.00
rp_5,Caribbean Windstorm Saint Barthelemy (AIR),1597139.00
rp_10,Caribbean Windstorm Saint Barthelemy (AIR),16204631.00
rp_25,Caribbean Windstorm Saint Barthelemy (AIR),184753735.00
rp_50,Caribbean Windstorm Saint Barthelemy (AIR),562223992.00
rp_100,Caribbean Windstorm Saint Barthelemy (AIR),1157317610.00
rp_200,Caribbean Windstorm Saint Barthelemy (AIR),1550373414.00
rp_250,Caribbean Windstorm Saint Barthelemy (AIR),1660077697.00
rp_500,Caribbean Windstorm Saint Barthelemy (AIR),2006675917.00
rp_1000,Caribbean Windstorm Saint Barthelemy (AIR),2225387019.00
rp_5,Caribbean Windstorm Saint Kitts & Nevis (AIR),3667756.00
rp_10,Caribbean Windstorm Saint Kitts & Nevis (AIR),20556040.00
rp_25,Caribbean Windstorm Saint Kitts & Nevis (AIR),177178408.00
rp_50,Caribbean Windstorm Saint Kitts & Nevis (AIR),668983992.00
rp_100,Caribbean Windstorm Saint Kitts & Nevis (AIR),1265440119.00
rp_200,Caribbean Windstorm Saint Kitts & Nevis (AIR),1637880948.00
rp_250,Caribbean Windstorm Saint Kitts & Nevis (AIR),1763443675.00
rp_500,Caribbean Windstorm Saint Kitts & Nevis (AIR),2114487354.00
rp_1000,Caribbean Windstorm Saint Kitts & Nevis (AIR),2358020663.00
rp_5,Caribbean Windstorm Saint Lucia (AIR),5481922.00
rp_10,Caribbean Windstorm Saint Lucia (AIR),16745410.00
rp_25,Caribbean Windstorm Saint Lucia (AIR),46955502.00
rp_50,Caribbean Windstorm Saint Lucia (AIR),106433163.00
rp_100,Caribbean Windstorm Saint Lucia (AIR),363945551.00
rp_200,Caribbean Windstorm Saint Lucia (AIR),1089045514.00
rp_250,Caribbean Windstorm Saint Lucia (AIR),1279421379.00
rp_500,Caribbean Windstorm Saint Lucia (AIR),2427916006.00
rp_1000,Caribbean Windstorm Saint Lucia (AIR),3635200060.00
rp_5,Caribbean Windstorm Saint Martin (AIR),2273629.00
rp_10,Caribbean Windstorm Saint Martin (AIR),16579211.00
rp_25,Caribbean Windstorm Saint Martin (AIR),147432879.00
rp_50,Caribbean Windstorm Saint Martin (AIR),453150351.00
rp_100,Caribbean Windstorm Saint Martin (AIR),787900628.00
rp_200,Caribbean Windstorm Saint Martin (AIR),1073244916.00
rp_250,Caribbean Windstorm Saint Martin (AIR),1182642965.00
rp_500,Caribbean Windstorm Saint Martin (AIR),1319742262.00
rp_1000,Caribbean Windstorm Saint Martin (AIR),1643798268.00
rp_5,Caribbean Windstorm Saint Vincent and the Grenadines (AIR),2982908.00
rp_10,Caribbean Windstorm Saint Vincent and the Grenadines (AIR),8732950.00
rp_25,Caribbean Windstorm Saint Vincent and the Grenadines (AIR),21695326.00
rp_50,Caribbean Windstorm Saint Vincent and the Grenadines (AIR),42787947.00
rp_100,Caribbean Windstorm Saint Vincent and the Grenadines (AIR),84283476.00
rp_200,Caribbean Windstorm Saint Vincent and the Grenadines (AIR),261373581.00
rp_250,Caribbean Windstorm Saint Vincent and the Grenadines (AIR),416232523.00
rp_500,Caribbean Windstorm Saint Vincent and the Grenadines (AIR),701735834.00
rp_1000,Caribbean Windstorm Saint Vincent and the Grenadines (AIR),1174156493.00
rp_5,Caribbean Windstorm Trinidad & Tobago (AIR),10522.00
rp_10,Caribbean Windstorm Trinidad & Tobago (AIR),2359227.00
rp_25,Caribbean Windstorm Trinidad & Tobago (AIR),48431556.00
rp_50,Caribbean Windstorm Trinidad & Tobago (AIR),119975447.00
rp_100,Caribbean Windstorm Trinidad & Tobago (AIR),213681539.00
rp_200,Caribbean Windstorm Trinidad & Tobago (AIR),340606427.00
rp_250,Caribbean Windstorm Trinidad & Tobago (AIR),372168811.00
rp_500,Caribbean Windstorm Trinidad & Tobago (AIR),568922238.00
rp_1000,Caribbean Windstorm Trinidad & Tobago (AIR),1787552723.00
rp_5,Caribbean Windstorm Turks & Caicos Islands (AIR),871992.00
rp_10,Caribbean Windstorm Turks & Caicos Islands (AIR),8642761.00
rp_25,Caribbean Windstorm Turks & Caicos Islands (AIR),87391451.00
rp_50,Caribbean Windstorm Turks & Caicos Islands (AIR),286723139.00
rp_100,Caribbean Windstorm Turks & Caicos Islands (AIR),705073405.00
rp_200,Caribbean Windstorm Turks & Caicos Islands (AIR),1446414841.00
rp_250,Caribbean Windstorm Turks & Caicos Islands (AIR),1645587150.00
rp_500,Caribbean Windstorm Turks & Caicos Islands (AIR),2735318264.00
rp_1000,Caribbean Windstorm Turks & Caicos Islands (AIR),3732310772.00
rp_5,Caribbean Windstorm US Virgin Islands (AIR),2712567.00
rp_10,Caribbean Windstorm US Virgin Islands (AIR),37239106.00
rp_25,Caribbean Windstorm US Virgin Islands (AIR),864895113.00
rp_50,Caribbean Windstorm US Virgin Islands (AIR),2800283323.00
rp_100,Caribbean Windstorm US Virgin Islands (AIR),4391657307.00
rp_200,Caribbean Windstorm US Virgin Islands (AIR),6928665127.00
rp_250,Caribbean Windstorm US Virgin Islands (AIR),7184579622.00
rp_500,Caribbean Windstorm US Virgin Islands (AIR),8546911718.00
rp_1000,Caribbean Windstorm US Virgin Islands (AIR),11035255111.00
rp_5,Caribbean Earthquake All (AIR),83292282.00
rp_10,Caribbean Earthquake All (AIR),301367769.00
rp_25,Caribbean Earthquake All (AIR),1041667265.00
rp_50,Caribbean Earthquake All (AIR),2420136434.00
rp_100,Caribbean Earthquake All (AIR),4041544650.00
rp_200,Caribbean Earthquake All (AIR),5988339805.00
rp_250,Caribbean Earthquake All (AIR),6960851462.00
rp_500,Caribbean Earthquake All (AIR),10817076013.00
rp_1000,Caribbean Earthquake All (AIR),14368030690.00
rp_5,Caribbean Earthquake Anguilla (AIR),0.00
rp_10,Caribbean Earthquake Anguilla (AIR),0.00
rp_25,Caribbean Earthquake Anguilla (AIR),0.00
rp_50,Caribbean Earthquake Anguilla (AIR),808391.00
rp_100,Caribbean Earthquake Anguilla (AIR),27642953.00
rp_200,Caribbean Earthquake Anguilla (AIR),71130123.00
rp_250,Caribbean Earthquake Anguilla (AIR),84070884.00
rp_500,Caribbean Earthquake Anguilla (AIR),251777049.00
rp_1000,Caribbean Earthquake Anguilla (AIR),410916235.00
rp_5,Caribbean Earthquake Antigua & Barbuda (AIR),0.00
rp_10,Caribbean Earthquake Antigua & Barbuda (AIR),0.00
rp_25,Caribbean Earthquake Antigua & Barbuda (AIR),340722.00
rp_50,Caribbean Earthquake Antigua & Barbuda (AIR),9040648.00
rp_100,Caribbean Earthquake Antigua & Barbuda (AIR),39215018.00
rp_200,Caribbean Earthquake Antigua & Barbuda (AIR),185122505.00
rp_250,Caribbean Earthquake Antigua & Barbuda (AIR),256845304.00
rp_500,Caribbean Earthquake Antigua & Barbuda (AIR),584745183.00
rp_1000,Caribbean Earthquake Antigua & Barbuda (AIR),1369970192.00
rp_5,Caribbean Earthquake Aruba (AIR),0.00
rp_10,Caribbean Earthquake Aruba (AIR),0.00
rp_25,Caribbean Earthquake Aruba (AIR),0.00
rp_50,Caribbean Earthquake Aruba (AIR),18957.00
rp_100,Caribbean Earthquake Aruba (AIR),2471276.00
rp_200,Caribbean Earthquake Aruba (AIR),17644914.00
rp_250,Caribbean Earthquake Aruba (AIR),24205542.00
rp_500,Caribbean Earthquake Aruba (AIR),85107812.00
rp_1000,Caribbean Earthquake Aruba (AIR),242310775.00
rp_5,Caribbean Earthquake Bahamas (AIR),0.00
rp_10,Caribbean Earthquake Bahamas (AIR),0.00
rp_25,Caribbean Earthquake Bahamas (AIR),0.00
rp_50,Caribbean Earthquake Bahamas (AIR),72302.00
rp_100,Caribbean Earthquake Bahamas (AIR),637725.00
rp_200,Caribbean Earthquake Bahamas (AIR),1909722.00
rp_250,Caribbean Earthquake Bahamas (AIR),3439982.00
rp_500,Caribbean Earthquake Bahamas (AIR),18551891.00
rp_1000,Caribbean Earthquake Bahamas (AIR),95838039.00
rp_5,Caribbean Earthquake Barbados (AIR),0.00
rp_10,Caribbean Earthquake Barbados (AIR),0.00
rp_25,Caribbean Earthquake Barbados (AIR),0.00
rp_50,Caribbean Earthquake Barbados (AIR),4631254.00
rp_100,Caribbean Earthquake Barbados (AIR),73701283.00
rp_200,Caribbean Earthquake Barbados (AIR),421240382.00
rp_250,Caribbean Earthquake Barbados (AIR),556009462.00
rp_500,Caribbean Earthquake Barbados (AIR),1517744048.00
rp_1000,Caribbean Earthquake Barbados (AIR),2957544767.00
rp_5,Caribbean Earthquake Bermuda (AIR),0.00
rp_10,Caribbean Earthquake Bermuda (AIR),0.00
rp_25,Caribbean Earthquake Bermuda (AIR),0.00
rp_50,Caribbean Earthquake Bermuda (AIR),0.00
rp_100,Caribbean Earthquake Bermuda (AIR),4566.00
rp_200,Caribbean Earthquake Bermuda (AIR),83856860.00
rp_250,Caribbean Earthquake Bermuda (AIR),127121294.00
rp_500,Caribbean Earthquake Bermuda (AIR),281413409.00
rp_1000,Caribbean Earthquake Bermuda (AIR),502773274.00
rp_5,Caribbean Earthquake Bonaire & Saint Eustatius & Saba (AIR),0.00
rp_10,Caribbean Earthquake Bonaire & Saint Eustatius & Saba (AIR),0.00
rp_25,Caribbean Earthquake Bonaire & Saint Eustatius & Saba (AIR),0.00
rp_50,Caribbean Earthquake Bonaire & Saint Eustatius & Saba (AIR),971941.00
rp_100,Caribbean Earthquake Bonaire & Saint Eustatius & Saba (AIR),5151658.00
rp_200,Caribbean Earthquake Bonaire & Saint Eustatius & Saba (AIR),20183605.00
rp_250,Caribbean Earthquake Bonaire & Saint Eustatius & Saba (AIR),27850612.00
rp_500,Caribbean Earthquake Bonaire & Saint Eustatius & Saba (AIR),60905060.00
rp_1000,Caribbean Earthquake Bonaire & Saint Eustatius & Saba (AIR),129845003.00
rp_5,Caribbean Earthquake British Virgin Islands (AIR),0.00
rp_10,Caribbean Earthquake British Virgin Islands (AIR),0.00
rp_25,Caribbean Earthquake British Virgin Islands (AIR),7847.00
rp_50,Caribbean Earthquake British Virgin Islands (AIR),1262591.00
rp_100,Caribbean Earthquake British Virgin Islands (AIR),15277953.00
rp_200,Caribbean Earthquake British Virgin Islands (AIR),50278410.00
rp_250,Caribbean Earthquake British Virgin Islands (AIR),67905544.00
rp_500,Caribbean Earthquake British Virgin Islands (AIR),198440432.00
rp_1000,Caribbean Earthquake British Virgin Islands (AIR),396125688.00
rp_5,Caribbean Earthquake Cayman Islands (AIR),0.00
rp_10,Caribbean Earthquake Cayman Islands (AIR),0.00
rp_25,Caribbean Earthquake Cayman Islands (AIR),691434.00
rp_50,Caribbean Earthquake Cayman Islands (AIR),11737199.00
rp_100,Caribbean Earthquake Cayman Islands (AIR),46259596.00
rp_200,Caribbean Earthquake Cayman Islands (AIR),128695613.00
rp_250,Caribbean Earthquake Cayman Islands (AIR),164311288.00
rp_500,Caribbean Earthquake Cayman Islands (AIR),357840961.00
rp_1000,Caribbean Earthquake Cayman Islands (AIR),525902551.00
rp_5,Caribbean Earthquake Cuba (AIR),1286994.00
rp_10,Caribbean Earthquake Cuba (AIR),13032392.00
rp_25,Caribbean Earthquake Cuba (AIR),60596933.00
rp_50,Caribbean Earthquake Cuba (AIR),149392854.00
rp_100,Caribbean Earthquake Cuba (AIR),317930050.00
rp_200,Caribbean Earthquake Cuba (AIR),627188904.00
rp_250,Caribbean Earthquake Cuba (AIR),710738768.00
rp_500,Caribbean Earthquake Cuba (AIR),1207508145.00
rp_1000,Caribbean Earthquake Cuba (AIR),2460348792.00
rp_5,Caribbean Earthquake Dominica (AIR),0.00
rp_10,Caribbean Earthquake Dominica (AIR),0.00
rp_25,Caribbean Earthquake Dominica (AIR),2349.00
rp_50,Caribbean Earthquake Dominica (AIR),1669165.00
rp_100,Caribbean Earthquake Dominica (AIR),8589795.00
rp_200,Caribbean Earthquake Dominica (AIR),26542236.00
rp_250,Caribbean Earthquake Dominica (AIR),35413107.00
rp_500,Caribbean Earthquake Dominica (AIR),58808507.00
rp_1000,Caribbean Earthquake Dominica (AIR),190697109.00
rp_5,Caribbean Earthquake Dominican Republic (AIR),2806365.00
rp_10,Caribbean Earthquake Dominican Republic (AIR),23119440.00
rp_25,Caribbean Earthquake Dominican Republic (AIR),135779799.00
rp_50,Caribbean Earthquake Dominican Republic (AIR),395168818.00
rp_100,Caribbean Earthquake Dominican Republic (AIR),1005500088.00
rp_200,Caribbean Earthquake Dominican Republic (AIR),2145845105.00
rp_250,Caribbean Earthquake Dominican Republic (AIR),2773648143.00
rp_500,Caribbean Earthquake Dominican Republic (AIR),3999990386.00
rp_1000,Caribbean Earthquake Dominican Republic (AIR),4969889994.00
rp_5,Caribbean Earthquake Grenada (AIR),0.00
rp_10,Caribbean Earthquake Grenada (AIR),0.00
rp_25,Caribbean Earthquake Grenada (AIR),0.00
rp_50,Caribbean Earthquake Grenada (AIR),1626475.00
rp_100,Caribbean Earthquake Grenada (AIR),9514106.00
rp_200,Caribbean Earthquake Grenada (AIR),23201789.00
